project,article,start,end,peak,peak_date,R,X,D,censored
en.wikipedia,Ali_Khamenei,212,230,223,2026-01-10,22.88362480127186,145.8501076067499,19,False
en.wikipedia,Ali_Khamenei,272,285,273,2026-03-01,528.6320592592592,1220.9433177778424,14,False
en.wikipedia,Nahui_Ollin,194,194,194,2025-12-12,2.4342105263157894,1.4342105263157894,1,False
en.wikipedia,Nahui_Ollin,243,257,253,2026-02-09,479.97202797202794,3455.356841709199,15,False
en.wikipedia,Nahui_Ollin,259,259,259,2026-02-15,2.134831460674157,1.1348314606741572,1,False
en.wikipedia,Nahui_Ollin,266,267,266,2026-02-22,4.22447403379777,4.564389939263915,2,False
en.wikipedia,Nahui_Ollin,274,274,274,2026-03-02,4.058240227278936,3.0582402272789357,1,False
en.wikipedia,Nahui_Ollin,311,313,313,2026-04-10,15.701094568656949,33.288530372983345,3,False
en.wikipedia,Nahui_Ollin,319,334,326,2026-04-23,112.7380276267026,974.4076054709794,16,False
en.wikipedia,.xxx,39,52,39,2025-07-10,61.00864464340846,129.24741580069426,14,False
en.wikipedia,.xxx,82,95,84,2025-08-24,159.387181738367,918.8091222899114,14,False
en.wikipedia,.xxx,120,129,121,2025-09-30,71.68753691671589,264.1411695215593,10,False
en.wikipedia,.xxx,151,164,160,2025-11-08,65.2000137892995,423.98066139539026,14,False
en.wikipedia,.xxx,195,209,197,2025-12-15,16.817365531996984,105.80207972092528,15,False
en.wikipedia,.xxx,230,230,230,2026-01-17,2.296011826559463,1.2960118265594631,1,False
en.wikipedia,.xxx,258,264,263,2026-02-19,3.568112883031126,11.462837110086838,7,False
en.wikipedia,.xxx,272,274,273,2026-03-01,6.496392990530459,8.948334903113107,3,False
en.wikipedia,.xxx,356,356,356,2026-05-23,2.208566602774562,1.208566602774562,1,False
en.wikipedia,.xxx,359,359,359,2026-05-26,2.588104884350874,1.5881048843508738,1,False
en.wikipedia,Dhurandhar:_The_Revenge,279,281,279,2026-03-07,3.734170854271357,5.658435032304379,3,False
en.wikipedia,Dhurandhar:_The_Revenge,284,304,292,2026-03-20,36.55250366304626,270.1093601784936,21,False
en.wikipedia,Kyle_Busch,49,49,49,2025-07-20,2.346079066753078,1.3460790667530782,1,False
en.wikipedia,Kyle_Busch,56,56,56,2025-07-27,2.0653846153846156,1.0653846153846156,1,False
en.wikipedia,Kyle_Busch,63,63,63,2025-08-03,3.480436177036562,2.480436177036562,1,False
en.wikipedia,Kyle_Busch,84,84,84,2025-08-24,2.242424242424242,1.2424242424242422,1,False
en.wikipedia,Kyle_Busch,134,134,134,2025-10-13,2.87007874015748,1.87007874015748,1,False
en.wikipedia,Kyle_Busch,140,140,140,2025-10-19,3.069182389937107,2.069182389937107,1,False
en.wikipedia,Kyle_Busch,154,155,155,2025-11-03,3.136887608069164,3.593659942363112,2,False
en.wikipedia,Kyle_Busch,200,201,201,2025-12-19,3.0378510378510377,3.518925518925519,2,False
en.wikipedia,Kyle_Busch,256,263,259,2026-02-15,18.356377799415775,45.89591569598558,8,False
en.wikipedia,Kyle_Busch,265,267,266,2026-02-22,7.514595496246872,12.82508022221908,3,False
en.wikipedia,Kyle_Busch,322,322,322,2026-04-19,2.72430224642614,1.7243022464261402,1,False
en.wikipedia,Kyle_Busch,329,329,329,2026-04-26,2.1021102791014297,1.1021102791014297,1,False
en.wikipedia,Kyle_Busch,335,336,335,2026-05-02,2.33354797166774,2.463387161661784,2,False
en.wikipedia,Kyle_Busch,349,349,349,2026-05-16,2.249310535024821,1.2493105350248208,1,False
en.wikipedia,Kyle_Busch,354,367,355,2026-05-22,1594.7037516170763,3711.034392856891,14,False
en.wikipedia,Brandon_Clarke,110,110,110,2025-09-19,2.127659574468085,1.127659574468085,1,False
en.wikipedia,Brandon_Clarke,117,117,117,2025-09-26,2.3013698630136985,1.3013698630136985,1,False
en.wikipedia,Brandon_Clarke,144,144,144,2025-10-23,2.4097560975609755,1.4097560975609755,1,False
en.wikipedia,Brandon_Clarke,148,149,149,2025-10-28,2.4326923076923075,2.721153846153846,2,False
en.wikipedia,Brandon_Clarke,153,153,153,2025-11-01,2.6695652173913045,1.6695652173913045,1,False
en.wikipedia,Brandon_Clarke,177,177,177,2025-11-25,2.364705882352941,1.3647058823529412,1,False
en.wikipedia,Brandon_Clarke,200,200,200,2025-12-18,3.5353535353535355,2.5353535353535355,1,False
en.wikipedia,Brandon_Clarke,228,228,228,2026-01-15,2.044943820224719,1.0449438202247192,1,False
en.wikipedia,Brandon_Clarke,247,249,247,2026-02-03,2.3407407407407406,3.975427087604209,3,False
en.wikipedia,Brandon_Clarke,304,308,305,2026-04-02,26.57875457875458,37.25470055032266,5,False
en.wikipedia,Brandon_Clarke,310,310,310,2026-04-07,2.5723684210526314,1.5723684210526314,1,False
en.wikipedia,Brandon_Clarke,345,358,345,2026-05-12,3746.5016077170417,7099.603801741689,14,False
en.wikipedia,Backrooms_(film),302,315,304,2026-04-01,19.727951070336392,76.78124106800841,14,False
en.wikipedia,Backrooms_(film),341,343,342,2026-05-09,2.2274771024146545,3.5606439078545655,3,False
en.wikipedia,Backrooms_(film),347,348,347,2026-05-14,2.1659728004440746,2.2973518525463534,2,False
en.wikipedia,Backrooms_(film),351,353,353,2026-05-20,2.4149144137700853,4.071929961870812,3,False
en.wikipedia,Backrooms_(film),358,373,363,2026-05-30,23.339029894267096,152.3993479133233,16,False
en.wikipedia,Michael_Jackson,158,165,159,2025-11-07,4.233869167224827,15.190825372686765,8,False
en.wikipedia,Michael_Jackson,247,249,247,2026-02-03,2.191167057819501,3.309176418271585,3,False
en.wikipedia,Michael_Jackson,253,253,253,2026-02-09,2.014199459935071,1.014199459935071,1,False
en.wikipedia,Michael_Jackson,255,255,255,2026-02-11,2.0390809405718726,1.0390809405718726,1,False
en.wikipedia,Michael_Jackson,311,318,314,2026-04-11,2.7751380291115946,10.33874700818496,8,False
en.wikipedia,Michael_Jackson,324,339,329,2026-04-26,9.02129356408007,72.76687008546801,16,False
en.wikipedia,Cesar_Chavez,106,110,109,2025-09-18,2.362709395484341,6.168269059618005,5,False
en.wikipedia,Cesar_Chavez,113,113,113,2025-09-22,2.022727272727273,1.022727272727273,1,False
en.wikipedia,Cesar_Chavez,216,219,217,2026-01-04,2.9256281407035174,6.085668775674249,4,False
en.wikipedia,Cesar_Chavez,289,303,291,2026-03-19,208.2548156301596,665.6462375494267,15,False
en.wikipedia,2026_NFL_draft,52,52,52,2025-07-23,2.493827160493827,1.4938271604938271,1,False
en.wikipedia,2026_NFL_draft,61,61,61,2025-08-01,2.5137254901960784,1.5137254901960784,1,False
en.wikipedia,2026_NFL_draft,79,79,79,2025-08-19,2.0988296488946685,1.0988296488946685,1,False
en.wikipedia,2026_NFL_draft,88,90,89,2025-08-29,3.6992936427850656,5.926433938852597,3,False
en.wikipedia,2026_NFL_draft,155,157,156,2025-11-04,5.556657223796034,9.640226628895185,3,False
en.wikipedia,2026_NFL_draft,162,162,162,2025-11-10,2.0218368657675017,1.0218368657675017,1,False
en.wikipedia,2026_NFL_draft,169,169,169,2025-11-17,2.3952434881087203,1.3952434881087203,1,False
en.wikipedia,2026_NFL_draft,198,198,198,2025-12-16,2.0569456427955135,1.0569456427955135,1,False
en.wikipedia,2026_NFL_draft,210,213,211,2025-12-29,3.0539419087136928,5.837528572940611,4,False
en.wikipedia,2026_NFL_draft,217,221,218,2026-01-05,17.667174641877477,25.769945779474988,5,False
en.wikipedia,2026_NFL_draft,223,226,224,2026-01-11,2.8791931593948696,6.907914748073869,4,False
en.wikipedia,2026_NFL_draft,233,233,233,2026-01-20,2.7644536832532154,1.7644536832532154,1,False
en.wikipedia,2026_NFL_draft,253,253,253,2026-02-09,2.004634322954381,1.0046343229543808,1,False
en.wikipedia,2026_NFL_draft,276,276,276,2026-03-04,2.1169744942832014,1.1169744942832014,1,False
en.wikipedia,2026_NFL_draft,279,279,279,2026-03-07,2.90798939795532,1.90798939795532,1,False
en.wikipedia,2026_NFL_draft,281,282,281,2026-03-09,2.50112632126148,2.853924796395772,2,False
en.wikipedia,2026_NFL_draft,319,319,319,2026-04-16,2.0705572040883613,1.0705572040883613,1,False
