datetime_utc,year,doy,hour,rho_orbit_kgm3,rho_point_kgm3,n_dens_samples,alt_mean_m,lat_mean_deg,lst_circmean_h,f107_sfu,f107_81d_sfu,dst_nt,kp10,ap_nt
2024-03-01T00:00:00Z,2024,61,0,6.78216e-13,6.61764e-13,360,484739,27.4145,21.614,150.1,155.172,5,27,12
2024-03-01T01:00:00Z,2024,61,1,7.08836e-13,7.97012e-13,360,498118,-3.92326,10.0877,150.1,155.172,1,27,12
2024-03-01T02:00:00Z,2024,61,2,7.23739e-13,6.2173e-13,360,496808,-23.0778,22.4412,150.1,155.172,-5,27,12
2024-03-01T03:00:00Z,2024,61,3,7.32846e-13,7.99242e-13,360,483661,32.5685,17.2832,150.1,155.172,-7,27,12
2024-03-01T04:00:00Z,2024,61,4,7.35941e-13,7.56572e-13,360,500298,-21.7295,9.78709,150.1,155.172,-11,27,12
2024-03-01T05:00:00Z,2024,61,5,7.64416e-13,6.61715e-13,360,493887,-5.74077,22.1193,150.1,155.172,-14,27,12
2024-03-01T06:00:00Z,2024,61,6,7.93271e-13,8.83262e-13,360,486917,28.3474,10.6388,150.1,155.172,-14,23,9
2024-03-01T07:00:00Z,2024,61,7,8.19032e-13,7.96566e-13,360,499889,-31.5768,9.11152,150.1,155.172,-18,23,9
2024-03-01T08:00:00Z,2024,61,8,8.37248e-13,7.97826e-13,360,489245,12.9662,21.991,150.1,155.172,-22,23,9
2024-03-01T09:00:00Z,2024,61,9,8.31329e-13,9.02916e-13,360,492727,14.7693,10.2546,150.1,155.172,-18,10,4
2024-03-01T10:00:00Z,2024,61,10,8.3945e-13,7.68379e-13,360,498685,-32.0197,23.2626,150.1,155.172,-11,10,4
2024-03-01T11:00:00Z,2024,61,11,8.44742e-13,8.65456e-13,360,484702,27.4252,21.5803,150.1,155.172,-5,10,4
2024-03-01T12:00:00Z,2024,61,12,8.24041e-13,9.01183e-13,360,497950,-3.95135,10.0548,150.1,155.172,-6,13,5
2024-03-01T13:00:00Z,2024,61,13,8.15276e-13,6.84166e-13,360,496933,-23.0634,22.4078,150.1,155.172,-9,13,5
2024-03-01T14:00:00Z,2024,61,14,8.23575e-13,8.99228e-13,360,483518,32.5659,17.2248,150.1,155.172,-11,13,5
2024-03-01T15:00:00Z,2024,61,15,8.36073e-13,8.88693e-13,360,500306,-21.7485,9.75432,150.1,155.172,-10,17,6
2024-03-01T16:00:00Z,2024,61,16,8.49104e-13,7.14067e-13,360,493984,-5.7236,22.0866,150.1,155.172,-14,17,6
2024-03-01T17:00:00Z,2024,61,17,8.66957e-13,9.8118e-13,360,486748,28.3321,10.6065,150.1,155.172,-15,17,6
2024-03-01T18:00:00Z,2024,61,18,8.63412e-13,8.43004e-13,360,500038,-31.5872,9.07634,150.1,155.172,-17,13,5
2024-03-01T19:00:00Z,2024,61,19,8.39165e-13,7.60744e-13,360,489275,12.9873,21.9575,150.1,155.172,-18,13,5
2024-03-01T20:00:00Z,2024,61,20,8.34122e-13,9.44409e-13,360,492616,14.7442,10.2213,150.1,155.172,-18,13,5
2024-03-01T21:00:00Z,2024,61,21,8.25802e-13,7.38058e-13,360,498756,-32.0159,23.2275,150.1,155.172,-15,7,3
2024-03-01T22:00:00Z,2024,61,22,8.34371e-13,8.62735e-13,360,484730,27.4375,21.5469,150.1,155.172,-13,7,3
2024-03-01T23:00:00Z,2024,61,23,8.34211e-13,8.82065e-13,360,497834,-3.97358,10.0216,150.1,155.172,-12,7,3
2024-03-02T00:00:00Z,2024,62,0,8.47428e-13,7.42018e-13,360,496977,-23.0473,22.3745,149.7,154.82,-10,23,9
2024-03-02T01:00:00Z,2024,62,1,8.59434e-13,9.36924e-13,360,483433,32.5647,17.1697,149.7,154.82,-8,23,9
