date,value
2015-02-18,70
2015-02-19,967
2015-02-20,1149
2015-02-21,849
2015-02-22,718
2015-02-23,867
2015-02-24,869
2015-02-25,814
2015-02-26,848
2015-02-27,827
2015-02-28,565
2015-03-01,677
2015-03-02,778
2015-03-03,1023
2015-03-04,981
2015-03-05,999
2015-03-06,915
2015-03-07,807
2015-03-08,783
2015-03-09,963
2015-03-10,951
2015-03-11,896
2015-03-12,799
2015-03-13,795
2015-03-14,624
2015-03-15,510
2015-03-16,847
2015-03-17,860
2015-03-18,831
2015-03-19,776
2015-03-20,856
2015-03-21,744
2015-03-22,634
2015-03-23,944
2015-03-24,910
2015-03-25,940
2015-03-26,1045
2015-03-27,921
2015-03-28,655
2015-03-29,638
2015-03-30,922
2015-03-31,1069
2015-04-01,1053
2015-04-02,905
2015-04-03,581
2015-04-04,582
2015-04-05,506
2015-04-06,800
2015-04-07,818
2015-04-08,942
2015-04-09,832
2015-04-10,809
2015-04-11,652
2015-04-12,579
2015-04-13,1149
2015-04-14,1052
2015-04-15,1112
2015-04-16,1067
2015-04-17,1084
2015-04-18,544
2015-04-19,475
2015-04-20,799
2015-04-21,1000
2015-04-22,1106
2015-04-23,1560
2015-04-24,1370
2015-04-25,883
2015-04-26,598
2015-04-27,817
2015-04-28,1006
2015-04-29,977
2015-04-30,963
2015-05-01,615
2015-05-02,506
2015-05-03,531
2015-05-04,770
2015-05-05,851
2015-05-06,982
2015-05-07,1041
2015-05-08,839
2015-05-09,661
2015-05-10,587
2015-05-11,856
2015-05-12,944
2015-05-13,923
2015-05-14,1006
2015-05-15,1265
2015-05-16,650
2015-05-17,610
2015-05-18,856
2015-05-19,846
2015-05-20,1005
2015-05-21,1014
2015-05-22,829
2015-05-23,678
2015-05-24,814
2015-05-25,1219
2015-05-26,1180
2015-05-27,972
2015-05-28,1163
2015-05-29,1059
2015-05-30,582
2015-05-31,630
2015-06-01,716
2015-06-02,744
2015-06-03,900
2015-06-04,942
2015-06-05,1047
2015-06-06,672
2015-06-07,565
2015-06-08,810
2015-06-09,803
2015-06-10,983
2015-06-11,896
2015-06-12,807
2015-06-13,491
2015-06-14,529
2015-06-15,579
2015-06-16,916
2015-06-17,936
2015-06-18,887
2015-06-19,914
2015-06-20,607
2015-06-21,545
2015-06-22,807
2015-06-23,951
2015-06-24,952
2015-06-25,1184
2015-06-26,1121
2015-06-27,776
2015-06-28,600
2015-06-29,696
2015-06-30,910
2015-07-01,951
2015-07-02,1066
2015-07-03,932
2015-07-04,777
2015-07-05,632
2015-07-06,755
2015-07-07,886
2015-07-08,903
2015-07-09,1143
2015-07-10,1321
2015-07-11,796
2015-07-12,638
2015-07-13,806
2015-07-14,972
2015-07-15,1017
2015-07-16,677
2015-07-17,771
2015-07-18,500
2015-07-19,516
2015-07-20,809
2015-07-21,856
2015-07-22,904
2015-07-23,936
2015-07-24,1024
2015-07-25,794
2015-07-26,697
2015-07-27,952
2015-07-28,1079
2015-07-29,1217
2015-07-30,1229
2015-07-31,1092
2015-08-01,713
2015-08-02,611
2015-08-03,911
2015-08-04,1157
2015-08-05,1200
2015-08-06,939
2015-08-07,795
2015-08-08,1069
2015-08-09,748
2015-08-10,915
2015-08-11,932
2015-08-12,1032
2015-08-13,1322
2015-08-14,1255
2015-08-15,747
2015-08-16,648
2015-08-17,924
2015-08-18,979
2015-08-19,887
2015-08-20,900
2015-08-21,1035
2015-08-22,752
2015-08-23,696
2015-08-24,828
2015-08-25,959
2015-08-26,828
2015-08-27,1044
2015-08-28,1062
2015-08-29,592
2015-08-30,593
2015-08-31,774
2015-09-01,799
2015-09-02,801
2015-09-03,881
2015-09-04,1057
2015-09-05,768
2015-09-06,743
2015-09-07,926
2015-09-08,1077
2015-09-09,1032
2015-09-10,1134
2015-09-11,1184
2015-09-12,851
2015-09-13,726
2015-09-14,1157
2015-09-15,1084
2015-09-16,1132
2015-09-17,1812
2015-09-18,1222
2015-09-19,917
2015-09-20,992
2015-09-21,1286
2015-09-22,1723
2015-09-23,1225
2015-09-24,1447
2015-09-25,1394
2015-09-26,913
2015-09-27,827
2015-09-28,1090
2015-09-29,1057
2015-09-30,1054
2015-10-01,1007
2015-10-02,917
2015-10-03,853
2015-10-04,758
2015-10-05,1228
2015-10-06,1285
2015-10-07,1147
2015-10-08,1566
2015-10-09,1393
2015-10-10,853
2015-10-11,758
2015-10-12,714
2015-10-13,1143
2015-10-14,1143
2015-10-15,1338
2015-10-16,1339
2015-10-17,780
2015-10-18,692
2015-10-19,1003
2015-10-20,1081
2015-10-21,164
2015-10-22,138
2015-10-23,1176
