date,value
2015-02-18,581
2015-02-19,5492
2015-02-20,4822
2015-02-21,3219
2015-02-22,3131
2015-02-23,4757
2015-02-24,4885
2015-02-25,5542
2015-02-26,5630
2015-02-27,5595
2015-02-28,3356
2015-03-01,3214
2015-03-02,5617
2015-03-03,6391
2015-03-04,6219
2015-03-05,5987
2015-03-06,5402
2015-03-07,3976
2015-03-08,4415
2015-03-09,6610
2015-03-10,6990
2015-03-11,6352
2015-03-12,6940
2015-03-13,5739
2015-03-14,4235
2015-03-15,4074
2015-03-16,6219
2015-03-17,6932
2015-03-18,6885
2015-03-19,6604
2015-03-20,6432
2015-03-21,4066
2015-03-22,3929
2015-03-23,6740
2015-03-24,6714
2015-03-25,7108
2015-03-26,7123
2015-03-27,6911
2015-03-28,4271
2015-03-29,4241
2015-03-30,7553
2015-03-31,7857
2015-04-01,7062
2015-04-02,6534
2015-04-03,5291
2015-04-04,3486
2015-04-05,3077
2015-04-06,4787
2015-04-07,6562
2015-04-08,6832
2015-04-09,6996
2015-04-10,5960
2015-04-11,3583
2015-04-12,3613
2015-04-13,6767
2015-04-14,6473
2015-04-15,6526
2015-04-16,6129
2015-04-17,7155
2015-04-18,4021
2015-04-19,3966
2015-04-20,7820
2015-04-21,8122
2015-04-22,7404
2015-04-23,6759
2015-04-24,6311
2015-04-25,3423
2015-04-26,3740
2015-04-27,6885
2015-04-28,6736
2015-04-29,6095
2015-04-30,6154
2015-05-01,4711
2015-05-02,2984
2015-05-03,3027
2015-05-04,6114
2015-05-05,6254
2015-05-06,6606
2015-05-07,6637
2015-05-08,7020
2015-05-09,4124
2015-05-10,4040
2015-05-11,7093
2015-05-12,7174
2015-05-13,7728
2015-05-14,7965
2015-05-15,7737
2015-05-16,5187
2015-05-17,4540
2015-05-18,7045
2015-05-19,7109
2015-05-20,7263
2015-05-21,7502
2015-05-22,7053
2015-05-23,3974
2015-05-24,3484
2015-05-25,6035
2015-05-26,7703
2015-05-27,6951
2015-05-28,6827
2015-05-29,6511
2015-05-30,3719
2015-05-31,3951
2015-06-01,6810
2015-06-02,7569
2015-06-03,6925
2015-06-04,8103
2015-06-05,7676
2015-06-06,4272
2015-06-07,3875
2015-06-08,6501
2015-06-09,7210
2015-06-10,7288
2015-06-11,7092
2015-06-12,6195
2015-06-13,3600
2015-06-14,3692
2015-06-15,6259
2015-06-16,6592
2015-06-17,7024
2015-06-18,6681
2015-06-19,5959
2015-06-20,3357
2015-06-21,3494
2015-06-22,6175
2015-06-23,7311
2015-06-24,6903
2015-06-25,6556
2015-06-26,6302
2015-06-27,3518
2015-06-28,3587
2015-06-29,7244
2015-06-30,7725
2015-07-01,6772
2015-07-02,6832
2015-07-03,5855
2015-07-04,4050
2015-07-05,4639
2015-07-06,7784
2015-07-07,7963
2015-07-08,9062
2015-07-09,10007
2015-07-10,9151
2015-07-11,5088
2015-07-12,4918
2015-07-13,8512
2015-07-14,8657
2015-07-15,9131
2015-07-16,8465
2015-07-17,7367
2015-07-18,4548
2015-07-19,4360
2015-07-20,6799
2015-07-21,7729
2015-07-22,6912
2015-07-23,7532
2015-07-24,6997
2015-07-25,4002
2015-07-26,3991
2015-07-27,7170
2015-07-28,7391
2015-07-29,8092
2015-07-30,8559
2015-07-31,7846
2015-08-01,4340
2015-08-02,3854
2015-08-03,6741
2015-08-04,7828
2015-08-05,8653
2015-08-06,7929
2015-08-07,6653
2015-08-08,3666
2015-08-09,3568
2015-08-10,6332
2015-08-11,6441
2015-08-12,7222
2015-08-13,8077
2015-08-14,7328
2015-08-15,4951
2015-08-16,4577
2015-08-17,7768
2015-08-18,7705
2015-08-19,7623
2015-08-20,7273
2015-08-21,6962
2015-08-22,3851
2015-08-23,5225
2015-08-24,7239
2015-08-25,8203
2015-08-26,7787
2015-08-27,8144
2015-08-28,7282
2015-08-29,4941
2015-08-30,4610
2015-08-31,8545
2015-09-01,9657
2015-09-02,11279
2015-09-03,11091
2015-09-04,8684
2015-09-05,5141
2015-09-06,4683
2015-09-07,6842
2015-09-08,8113
2015-09-09,8203
2015-09-10,8355
2015-09-11,7511
2015-09-12,4374
2015-09-13,4202
2015-09-14,7170
2015-09-15,8045
2015-09-16,8428
2015-09-17,7343
2015-09-18,7461
2015-09-19,4407
2015-09-20,4206
2015-09-21,8112
2015-09-22,9958
2015-09-23,10891
2015-09-24,9335
2015-09-25,9101
2015-09-26,6299
2015-09-27,5493
2015-09-28,8769
2015-09-29,8304
2015-09-30,8454
2015-10-01,7507
2015-10-02,5577
2015-10-03,3451
2015-10-04,3192
2015-10-05,5500
2015-10-06,5735
2015-10-07,5590
2015-10-08,6677
2015-10-09,6490
2015-10-10,5162
2015-10-11,4156
2015-10-12,7424
2015-10-13,7721
2015-10-14,8367
2015-10-15,8574
2015-10-16,8026
2015-10-17,4785
2015-10-18,4895
2015-10-19,8352
2015-10-20,9314
2015-10-21,2245
2015-10-22,1360
2015-10-23,8916
2015-10-24,4997
2015-10-25,4039
2015-10-26,7132
2015-10-27,8963
2015-10-28,8472
2015-10-29,10038
2015-10-30,9547
2015-10-31,5352
2015-11-01,4629
2015-11-02,8603
2015-11-03,9035
2015-11-04,10263
2015-11-05,9073
2015-11-06,8612
2015-11-07,6169
2015-11-08,4939
2015-11-09,7471
2015-11-10,7980
2015-11-11,7608
2015-11-12,7900
2015-11-13,7738
2015-11-14,4367
2015-11-15,4323
2015-11-16,6645
2015-11-17,6888
2015-11-18,8444
2015-11-19,8724
2015-11-20,8496
2015-11-21,5771
2015-11-22,4823
2015-11-23,7560
2015-11-24,8083
2015-11-25,7876
2015-11-26,7812
2015-11-27,7568
2015-11-28,3963
2015-11-29,3778
2015-11-30,8095
2015-12-01,7831
2015-12-02,7474
2015-12-03,7367
2015-12-04,7593
2015-12-05,4957
2015-12-06,4262
2015-12-07,7208
2015-12-08,7116
2015-12-09,7672
2015-12-10,7999
2015-12-11,7078
2015-12-12,4384
2015-12-13,4238
2015-12-14,8259
2015-12-15,8440
2015-12-16,7961
2015-12-17,7698
2015-12-18,7422
2015-12-19,4555
2015-12-20,4101
2015-12-21,6513
2015-12-22,7032
2015-12-23,6240
2015-12-24,6258
2015-12-25,4484
2015-12-26,3859
2015-12-27,3958
2015-12-28,6526
2015-12-29,5990
2015-12-30,5900
2015-12-31,6204
2016-01-01,4011
2016-01-02,3370
2016-01-03,3635
2016-01-04,6303
2016-01-05,6890
2016-01-06,8275
2016-01-07,8399
2016-01-08,8014
2016-01-09,4520
2016-01-10,4379
2016-01-11,7160
2016-01-12,7478
2016-01-13,8245
2016-01-14,7005
2016-01-15,7541
2016-01-16,5554
2016-01-17,5442
2016-01-18,8102
2016-01-19,8948
2016-01-20,9141
2016-01-21,9067
2016-01-22,8082
2016-01-23,5632
2016-01-24,5239
2016-01-25,7216
2016-01-26,7190
2016-01-27,7810
2016-01-28,7619
2016-01-29,6672
2016-01-30,4076
2016-01-31,4000
2016-02-01,7949
2016-02-02,7279
2016-02-03,7599
2016-02-04,7352
2016-02-05,7141
2016-02-06,4938
2016-02-07,4824
2016-02-08,6947
2016-02-09,5987
2016-02-10,5777
2016-02-11,5566
2016-02-12,5630
2016-02-13,4141
2016-02-14,3741
2016-02-15,6402
2016-02-16,7371
2016-02-17,8323
2016-02-18,7427
2016-02-19,7040
2016-02-20,4365
2016-02-21,3875
2016-02-22,6494
2016-02-23,7176
2016-02-24,8405
2016-02-25,8393
2016-02-26,8187
2016-02-27,5701
2016-02-28,4479
2016-02-29,7608
2016-03-01,7443
2016-03-02,7549
2016-03-03,7454
2016-03-04,6997
2016-03-05,4314
2016-03-06,4370
2016-03-07,6641
2016-03-08,7437
2016-03-09,7014
2016-03-10,6375
2016-03-11,6606
2016-03-12,4001
2016-03-13,3745
2016-03-14,6564
2016-03-15,6347
2016-03-16,6930
2016-03-17,6996
2016-03-18,7413
2016-03-19,3616
2016-03-20,4032
2016-03-21,7300
2016-03-22,7162
2016-03-23,7895
2016-03-24,7714
2016-03-25,6102
2016-03-26,4460
2016-03-27,3961
2016-03-28,7752
2016-03-29,8497
2016-03-30,7892
2016-03-31,8262
2016-04-01,9192
2016-04-02,5030
2016-04-03,3690
2016-04-04,5743
2016-04-05,7277
2016-04-06,7491
2016-04-07,7564
2016-04-08,7915
2016-04-09,5380
2016-04-10,4715
2016-04-11,7446
2016-04-12,8443
2016-04-13,8837
2016-04-14,8509
2016-04-15,7693
2016-04-16,4436
2016-04-17,4377
2016-04-18,8617
2016-04-19,8210
2016-04-20,8459
2016-04-21,8273
2016-04-22,8377
2016-04-23,4873
2016-04-24,4358
2016-04-25,7986
2016-04-26,7849
2016-04-27,8454
2016-04-28,9164
2016-04-29,8289
2016-04-30,5031
2016-05-01,3838
2016-05-02,5976
2016-05-03,7621
2016-05-04,6952
2016-05-05,7189
2016-05-06,7329
2016-05-07,4378
2016-05-08,3994
2016-05-09,7118
2016-05-10,8019
2016-05-11,8324
2016-05-12,8574
2016-05-13,8300
2016-05-14,4887
2016-05-15,4653
2016-05-16,7949
2016-05-17,8795
2016-05-18,8718
2016-05-19,8065
2016-05-20,8079
2016-05-21,4571
2016-05-22,4140
2016-05-23,8315
2016-05-24,9347
2016-05-25,8971
2016-05-26,8818
2016-05-27,8972
2016-05-28,4364
2016-05-29,3962
2016-05-30,6510
2016-05-31,8433
2016-06-01,9329
2016-06-02,8049
2016-06-03,8357
2016-06-04,6488
2016-06-05,6085
2016-06-06,8197
2016-06-07,9074
2016-06-08,9014
2016-06-09,7748
2016-06-10,6792
2016-06-11,4122
2016-06-12,5009
2016-06-13,7657
2016-06-14,8319
2016-06-15,10152
2016-06-16,9455
2016-06-17,8703
2016-06-18,5801
2016-06-19,5500
2016-06-20,9350
2016-06-21,9522
2016-06-22,9500
2016-06-23,10396
2016-06-24,9039
2016-06-25,5922
2016-06-26,5463
2016-06-27,8566
2016-06-28,7939
2016-06-29,7962
2016-06-30,8512
2016-07-01,7857
2016-07-02,4043
2016-07-03,3702
2016-07-04,6801
2016-07-05,7350
2016-07-06,7787
2016-07-07,7816
2016-07-08,7433
2016-07-09,4559
2016-07-10,4231
2016-07-11,8194
2016-07-12,11819
2016-07-13,11592
2016-07-14,10256
2016-07-15,9026
2016-07-16,5093
2016-07-17,4628
2016-07-18,8531
2016-07-19,8364
2016-07-20,8498
2016-07-21,8003
2016-07-22,8549
2016-07-23,5184
2016-07-24,5546
2016-07-25,9227
2016-07-26,8970
2016-07-27,8637
2016-07-28,8154
2016-07-29,8048
2016-07-30,4815
2016-07-31,3828
2016-08-01,7681
2016-08-02,8044
2016-08-03,7806
2016-08-04,7899
2016-08-05,7233
2016-08-06,4501
2016-08-07,3965
2016-08-08,7280
2016-08-09,7602
2016-08-10,7361
2016-08-11,7008
2016-08-12,7039
2016-08-13,4197
2016-08-14,3742
2016-08-15,6530
2016-08-16,8164
2016-08-17,8052
2016-08-18,8202
2016-08-19,7002
2016-08-20,4245
2016-08-21,4061
2016-08-22,7849
2016-08-23,8346
2016-08-24,8658
2016-08-25,8255
2016-08-26,7624
2016-08-27,4440
2016-08-28,3851
2016-08-29,8551
2016-08-30,10755
2016-08-31,10841
2016-09-01,10518
2016-09-02,10755
2016-09-03,10748
2016-09-04,12567
2016-09-05,15941
2016-09-06,12396
2016-09-07,11276
2016-09-08,10605
2016-09-09,9441
2016-09-10,5564
2016-09-11,4530
2016-09-12,8880
2016-09-13,8957
2016-09-14,9251
2016-09-15,7652
2016-09-16,7057
2016-09-17,4295
2016-09-18,4106
2016-09-19,7427
2016-09-20,8237
2016-09-21,8211
2016-09-22,8272
2016-09-23,8176
2016-09-24,4788
2016-09-25,4490
2016-09-26,8142
2016-09-27,8699
2016-09-28,7929
2016-09-29,8235
2016-09-30,7889
2016-10-01,4453
2016-10-02,3769
2016-10-03,6136
2016-10-04,5940
2016-10-05,7070
2016-10-06,6940
2016-10-07,6227
2016-10-08,4609
2016-10-09,4698
2016-10-10,7237
2016-10-11,8115
2016-10-12,8402
2016-10-13,8280
