date,value
2015-02-18,424
2015-02-19,5348
2015-02-20,6261
2015-02-21,3527
2015-02-22,3202
2015-02-23,4991
2015-02-24,5641
2015-02-25,4898
2015-02-26,5361
2015-02-27,4935
2015-02-28,3438
2015-03-01,2774
2015-03-02,4173
2015-03-03,5056
2015-03-04,4883
2015-03-05,4577
2015-03-06,5056
2015-03-07,3290
2015-03-08,3292
2015-03-09,6010
2015-03-10,5647
2015-03-11,5521
2015-03-12,5444
2015-03-13,4872
2015-03-14,3104
2015-03-15,3333
2015-03-16,5695
2015-03-17,5906
2015-03-18,6400
2015-03-19,6571
2015-03-20,5638
2015-03-21,3168
2015-03-22,3069
2015-03-23,5880
2015-03-24,7897
2015-03-25,6531
2015-03-26,6157
2015-03-27,6466
2015-03-28,4125
2015-03-29,3916
2015-03-30,5733
2015-03-31,6020
2015-04-01,5788
2015-04-02,5359
2015-04-03,3658
2015-04-04,2781
2015-04-05,2430
2015-04-06,3014
2015-04-07,4316
2015-04-08,4395
2015-04-09,4396
2015-04-10,4014
2015-04-11,2646
2015-04-12,3321
2015-04-13,6664
2015-04-14,6060
2015-04-15,6373
2015-04-16,5223
2015-04-17,4530
2015-04-18,2828
2015-04-19,2741
2015-04-20,4495
2015-04-21,5040
2015-04-22,4708
2015-04-23,5369
2015-04-24,5317
2015-04-25,3174
2015-04-26,2991
2015-04-27,5169
2015-04-28,4766
2015-04-29,4340
2015-04-30,5139
2015-05-01,3609
2015-05-02,2930
2015-05-03,2981
2015-05-04,4751
2015-05-05,4962
2015-05-06,6076
2015-05-07,5690
2015-05-08,6152
2015-05-09,3804
2015-05-10,4149
2015-05-11,5341
2015-05-12,5623
2015-05-13,4579
2015-05-14,3781
2015-05-15,3983
2015-05-16,2076
2015-05-17,2391
2015-05-18,4337
2015-05-19,4602
2015-05-20,4900
2015-05-21,5133
2015-05-22,4446
2015-05-23,2531
2015-05-24,2111
2015-05-25,3206
2015-05-26,4149
2015-05-27,4765
2015-05-28,4460
2015-05-29,5067
2015-05-30,2917
2015-05-31,2800
2015-06-01,5409
2015-06-02,5643
2015-06-03,5270
2015-06-04,5314
2015-06-05,5725
2015-06-06,4262
2015-06-07,6155
2015-06-08,7634
2015-06-09,6450
2015-06-10,6418
2015-06-11,5454
2015-06-12,4796
2015-06-13,2952
2015-06-14,2767
2015-06-15,4127
2015-06-16,4273
2015-06-17,4568
2015-06-18,4990
2015-06-19,4130
2015-06-20,3120
2015-06-21,4866
2015-06-22,7591
2015-06-23,6172
2015-06-24,6213
2015-06-25,5086
2015-06-26,5075
2015-06-27,3006
2015-06-28,3857
2015-06-29,5270
2015-06-30,5032
2015-07-01,5262
2015-07-02,5436
2015-07-03,4124
2015-07-04,3269
2015-07-05,4413
2015-07-06,7675
2015-07-07,7287
2015-07-08,6380
2015-07-09,6268
2015-07-10,6235
2015-07-11,4198
2015-07-12,4490
2015-07-13,6022
2015-07-14,6696
2015-07-15,7414
2015-07-16,6566
2015-07-17,6352
2015-07-18,3625
2015-07-19,3507
2015-07-20,5303
2015-07-21,5407
2015-07-22,4710
2015-07-23,4892
2015-07-24,4287
2015-07-25,2923
2015-07-26,2853
2015-07-27,4430
2015-07-28,4283
2015-07-29,4903
2015-07-30,4595
2015-07-31,4464
2015-08-01,3060
2015-08-02,2848
2015-08-03,4453
2015-08-04,4422
2015-08-05,4711
2015-08-06,3817
2015-08-07,4054
2015-08-08,2701
2015-08-09,2759
2015-08-10,4283
2015-08-11,4469
2015-08-12,4398
2015-08-13,4879
2015-08-14,4838
2015-08-15,2900
2015-08-16,3021
2015-08-17,4722
2015-08-18,5169
2015-08-19,5863
2015-08-20,5564
2015-08-21,4855
2015-08-22,3297
2015-08-23,4301
2015-08-24,6849
2015-08-25,6616
2015-08-26,6894
2015-08-27,6284
2015-08-28,5836
2015-08-29,4129
2015-08-30,4342
2015-08-31,6599
2015-09-01,7344
2015-09-02,7042
2015-09-03,7676
2015-09-04,7465
2015-09-05,6122
2015-09-06,6304
2015-09-07,9205
2015-09-08,8093
2015-09-09,7960
2015-09-10,7329
2015-09-11,6987
2015-09-12,5084
2015-09-13,6392
2015-09-14,9366
2015-09-15,8195
2015-09-16,7483
2015-09-17,7319
2015-09-18,6573
2015-09-19,3967
2015-09-20,4019
2015-09-21,6584
2015-09-22,7245
2015-09-23,7161
2015-09-24,6597
2015-09-25,6014
2015-09-26,3837
2015-09-27,4098
2015-09-28,6514
2015-09-29,6327
2015-09-30,5462
2015-10-01,6304
2015-10-02,6436
2015-10-03,4183
2015-10-04,3797
2015-10-05,5924
2015-10-06,6209
2015-10-07,6944
2015-10-08,6793
2015-10-09,6048
2015-10-10,3900
2015-10-11,3967
2015-10-12,5684
2015-10-13,5768
2015-10-14,5699
2015-10-15,6314
2015-10-16,6243
2015-10-17,4766
2015-10-18,5029
2015-10-19,6807
2015-10-20,6420
2015-10-21,874
2015-10-22,860
2015-10-23,7275
2015-10-24,4324
2015-10-25,3804
2015-10-26,5403
2015-10-27,5588
2015-10-28,5728
2015-10-29,6543
2015-10-30,6005
2015-10-31,3458
2015-11-01,3787
2015-11-02,5456
2015-11-03,5591
2015-11-04,6138
2015-11-05,6094
2015-11-06,6036
2015-11-07,3598
2015-11-08,3651
2015-11-09,5733
2015-11-10,6385
2015-11-11,6243
2015-11-12,6313
2015-11-13,5293
2015-11-14,4638
2015-11-15,3438
2015-11-16,5489
2015-11-17,4516
2015-11-18,5038
2015-11-19,4673
2015-11-20,4949
2015-11-21,3159
2015-11-22,3015
2015-11-23,4601
2015-11-24,5048
2015-11-25,6103
2015-11-26,6349
2015-11-27,5491
2015-11-28,3161
2015-11-29,3440
2015-11-30,5051
2015-12-01,5454
2015-12-02,5693
2015-12-03,5098
2015-12-04,5941
2015-12-05,3247
2015-12-06,3046
2015-12-07,5234
2015-12-08,4854
2015-12-09,5470
2015-12-10,5245
2015-12-11,4376
2015-12-12,2617
2015-12-13,2934
2015-12-14,4752
2015-12-15,5143
2015-12-16,5128
2015-12-17,4454
2015-12-18,4536
2015-12-19,2919
2015-12-20,2446
2015-12-21,3813
2015-12-22,3987
2015-12-23,3831
2015-12-24,3204
2015-12-25,1980
2015-12-26,1982
2015-12-27,2593
2015-12-28,3294
2015-12-29,3398
2015-12-30,3821
2015-12-31,3575
2016-01-01,3460
2016-01-02,2751
2016-01-03,2618
2016-01-04,4976
2016-01-05,5366
2016-01-06,6038
2016-01-07,6196
2016-01-08,6599
2016-01-09,5206
2016-01-10,5279
2016-01-11,7833
2016-01-12,8887
