date,value
2015-02-18,-2.5217212969867715
2015-02-19,-1.645183608685819
2015-02-20,-1.5685557986034955
2015-02-21,-1.4173382055880104
2015-02-22,-1.626416611015228
2015-02-23,-1.788393944884774
2015-02-24,-1.8938495517549145
2015-02-25,-1.9364052658001931
2015-02-26,-1.913114078734727
2015-02-27,-1.6872710973842255
2015-02-28,-2.6758543470824407
2015-03-01,-2.1841777689861486
2015-03-02,-1.8459779837378725
2015-03-03,-1.374245725117304
2015-03-04,-1.3441595191061197
2015-03-05,-1.449084294217251
2015-03-06,-1.4809984412749055
2015-03-07,-1.7400402361014573
2015-03-08,-1.9477876597942891
2015-03-09,-1.675171351814173
2015-03-10,-1.7353164194113266
2015-03-11,-1.8696058455107787
2015-03-12,-2.0525402078816746
2015-03-13,-2.05575532755229
2015-03-14,-1.9427496498884609
2015-03-15,-1.6284302455265929
2015-03-16,-1.186167957942275
2015-03-17,-1.305737204050764
2015-03-18,-2.418865849781874
2015-03-19,-1.9628673137831971
2015-03-20,-1.4800888440487683
2015-03-21,-1.6074987345885583
2015-03-22,-1.7574239365378934
2015-03-23,-1.6899241409812125
2015-03-24,-2.4113434693118836
2015-03-25,-2.2689319558056633
2015-03-26,-2.0423572224943913
2015-03-27,-2.491233908173513
2015-03-28,-2.5004477694441185
2015-03-29,-2.363111959546394
2015-03-30,-2.1742392351902127
2015-03-31,-1.9790690411474892
2015-04-01,-1.752211934384366
2015-04-02,-1.9730826361044307
2015-04-03,-1.640506985186619
2015-04-04,-2.173925286866095
2015-04-05,-2.2029870920115098
2015-04-06,-2.0118197523564865
2015-04-07,-2.3117134900700993
2015-04-08,-1.802548523999741
2015-04-09,-1.8084396471660393
2015-04-10,-1.3666614935727923
2015-04-11,-1.7748278280356387
2015-04-12,-1.162247699953427
2015-04-13,-1.5958473807923583
2015-04-14,-1.7395337941700877
2015-04-15,-1.634537130897584
2015-04-16,-1.7560095743480408
2015-04-17,-1.770223705067688
2015-04-18,-1.7652148877240375
2015-04-19,-2.1457618796087563
2015-04-20,-2.3887796169873754
2015-04-21,-2.432879333444396
2015-04-22,-2.125122884533359
2015-04-23,-2.119832920182093
2015-04-24,-2.366659824251114
2015-04-25,-2.2600598576434896
2015-04-26,-2.2647266910074437
2015-04-27,-1.8129213779106828
2015-04-28,-1.494844737716964
2015-04-29,-1.4672467426853129
2015-04-30,-2.002789172865979
2015-05-01,-2.1094521099937027
2015-05-02,-2.320978806191864
2015-05-03,-1.8347558428375705
2015-05-04,-1.758245000427217
2015-05-05,-1.7191334378447978
2015-05-06,-2.41538847479662
2015-05-07,-1.8516664285557831
2015-05-08,-1.7551509158782483
2015-05-09,-1.4711137182033551
2015-05-10,-1.5838379412144552
2015-05-11,-1.3581404313811272
2015-05-12,-1.170156843180279
2015-05-13,-1.2752047379546707
2015-05-14,-1.5146264696627667
2015-05-15,-1.517769038233088
2015-05-16,-1.7499931159567386
2015-05-17,-1.5822874039369095
2015-05-18,-1.7463464872072918
2015-05-19,-1.592094800469279
2015-05-20,-1.634874945440475
2015-05-21,-1.3703573142759764
2015-05-22,-0.9536451001949108
2015-05-23,-1.2654884266051258
2015-05-24,-1.7115187493001633
2015-05-25,-1.35429764174529
2015-05-26,-1.231896730861671
2015-05-27,-1.332963259994539
2015-05-28,-1.212653433513762
2015-05-29,-1.0961530173981386
2015-05-30,-1.428460687017842
2015-05-31,-1.1846869960472923
2015-06-01,-1.4744423938187257
2015-06-02,-1.3925755497930479
2015-06-03,-1.3008598139318956
2015-06-04,-1.4797330774556745
2015-06-05,-1.5857434707645834
2015-06-06,-2.138273662481056
2015-06-07,-1.9331652812322064
2015-06-08,-1.4686298436154475
2015-06-09,-1.4475711008171734
2015-06-10,-1.4481813090211049
2015-06-11,-1.7071713428071584
2015-06-12,-1.9348156089005724
2015-06-13,-1.6697413060333735
2015-06-14,-1.6709843960747033
2015-06-15,-1.376311613581633
2015-06-16,-1.7741056755260929
2015-06-17,-1.7127038443201248
2015-06-18,-1.5951292190828166
2015-06-19,-1.195029540414147
2015-06-20,-2.6035759706496857
2015-06-21,-3.1637039729157395
2015-06-22,-2.6376770571718056
2015-06-23,-1.9023959633591838
2015-06-24,-1.4473762899129514
2015-06-25,-1.4704201728081723
2015-06-26,-2.0071369625069715
2015-06-27,-2.1247614741975522
2015-06-28,-1.77520417172762
2015-06-29,-1.9212496976094777
2015-06-30,-1.62686566915301
2015-07-01,-1.645726765045093
2015-07-02,-1.961484824969424
2015-07-03,-1.611775979495712
2015-07-04,-1.6155833690506813
2015-07-05,-1.5914697484789904
2015-07-06,-1.4781695904961776
2015-07-07,-1.7251450821106342
2015-07-08,-1.4949423251894298
2015-07-09,-1.3259071855334372
2015-07-10,-2.217912317362475
2015-07-11,-1.6986462555596216
2015-07-12,-1.5490695840422866
2015-07-13,-1.3678391537175199
2015-07-14,-1.0782794623061671
2015-07-15,-1.9768825622708486
2015-07-16,-1.6692217377209468
2015-07-17,-1.19785464039389
2015-07-18,-1.7223242026248324
2015-07-19,-1.6781526262666926
2015-07-20,-1.9522183853397097
2015-07-21,-1.781215714764788
2015-07-22,-1.4649485083139122
2015-07-23,-1.4736871597596686
2015-07-24,-1.633132842163037
2015-07-25,-2.4018449261501873
2015-07-26,-2.500398600234615
2015-07-27,-2.182092397221689
2015-07-28,-1.7418408253387654
2015-07-29,-1.9334332341156504
2015-07-30,-1.7593976230362662
2015-07-31,-1.8550527127465768
2015-08-01,-1.8394916255898546
2015-08-02,-2.0558479990887353
2015-08-03,-1.5916880604762051
2015-08-04,-1.9999404137850938
2015-08-05,-2.0278671878479937
2015-08-06,-1.7646862559380676
2015-08-07,-2.117494465619561
2015-08-08,-2.2390763967556007
2015-08-09,-2.106325561993445
2015-08-10,-2.1480126250991156
2015-08-11,-1.6135461747365938
2015-08-12,-1.202031699361761
2015-08-13,-1.8599291615808344
2015-08-14,-1.7596874042977968
2015-08-15,-1.9630800638572004
2015-08-16,-2.080219430985185
2015-08-17,-1.8356884373260136
2015-08-18,-2.1059728593031033
2015-08-19,-1.8444399312364899
2015-08-20,-2.0258057988464104
2015-08-21,-2.277950184486765
2015-08-22,-3.0692599996186942
2015-08-23,-3.0472889099262943
2015-08-24,-3.1450573551235537
2015-08-25,-2.90820350549276
2015-08-26,-3.0624374456196186
2015-08-27,-2.658716514729413
2015-08-28,-2.652203368703324
2015-08-29,-3.005117960308641
2015-08-30,-2.5348266200189404
2015-08-31,-2.6487301031818142
2015-09-01,-2.7139499183826956
2015-09-02,-2.592752159769565
2015-09-03,-2.8533293938908963
2015-09-04,-2.9301426646602016
2015-09-05,-3.3567020008134376
2015-09-06,-3.084273656093711
2015-09-07,-3.0247768852079906
2015-09-08,-2.9507202869029245
2015-09-09,-2.7078754922267643
2015-09-10,-2.3739002215933716
2015-09-11,-2.5960655536172728
2015-09-12,-2.7944847093163383
2015-09-13,-2.6151951088257372
2015-09-14,-2.749460287747803
2015-09-15,-2.6474867650027676
2015-09-16,-2.59983043012983
2015-09-17,-2.9577132549830996
2015-09-18,-2.8961377358210942
2015-09-19,-2.382076501785202
