date,value
2015-02-18,535
2015-02-19,5933
2015-02-20,6430
2015-02-21,4444
2015-02-22,3730
2015-02-23,5806
2015-02-24,6989
2015-02-25,7240
2015-02-26,6385
2015-02-27,5692
2015-02-28,3431
2015-03-01,3084
2015-03-02,4583
2015-03-03,5097
2015-03-04,5792
2015-03-05,5490
2015-03-06,5031
2015-03-07,5085
2015-03-08,4318
2015-03-09,6433
2015-03-10,5535
2015-03-11,5531
2015-03-12,5251
2015-03-13,4916
2015-03-14,3377
2015-03-15,3271
2015-03-16,5043
2015-03-17,5438
2015-03-18,6085
2015-03-19,6604
2015-03-20,5849
2015-03-21,3634
2015-03-22,3484
2015-03-23,5147
2015-03-24,9623
2015-03-25,8199
2015-03-26,7438
2015-03-27,6791
2015-03-28,4585
2015-03-29,4349
2015-03-30,5452
2015-03-31,5801
2015-04-01,5439
2015-04-02,5543
2015-04-03,4598
2015-04-04,3041
2015-04-05,2860
2015-04-06,4256
2015-04-07,5085
2015-04-08,5661
2015-04-09,6408
2015-04-10,6105
2015-04-11,3946
2015-04-12,3605
2015-04-13,5447
2015-04-14,6042
2015-04-15,5463
2015-04-16,5516
2015-04-17,5167
2015-04-18,3302
2015-04-19,3529
2015-04-20,5049
2015-04-21,4851
2015-04-22,6560
2015-04-23,5921
2015-04-24,5999
2015-04-25,3765
2015-04-26,3063
2015-04-27,4830
2015-04-28,4750
2015-04-29,5523
2015-04-30,6210
2015-05-01,4137
2015-05-02,2625
2015-05-03,3004
2015-05-04,5177
2015-05-05,6504
2015-05-06,6484
2015-05-07,5662
2015-05-08,4816
2015-05-09,3528
2015-05-10,3270
2015-05-11,5905
2015-05-12,6691
2015-05-13,5404
2015-05-14,4436
2015-05-15,4473
2015-05-16,2794
2015-05-17,2985
2015-05-18,4729
2015-05-19,5352
2015-05-20,5552
2015-05-21,5267
2015-05-22,5379
2015-05-23,3048
2015-05-24,2980
2015-05-25,3752
2015-05-26,5289
2015-05-27,5029
2015-05-28,5241
2015-05-29,4635
2015-05-30,2967
2015-05-31,3140
2015-06-01,5190
2015-06-02,6424
2015-06-03,6158
2015-06-04,5708
2015-06-05,5443
2015-06-06,3463
2015-06-07,3549
2015-06-08,5796
2015-06-09,5187
2015-06-10,5502
2015-06-11,5608
2015-06-12,5232
2015-06-13,3039
2015-06-14,2914
2015-06-15,5727
2015-06-16,5967
2015-06-17,5946
2015-06-18,6046
2015-06-19,5240
2015-06-20,3601
2015-06-21,4496
2015-06-22,6371
2015-06-23,6725
2015-06-24,9436
2015-06-25,7413
2015-06-26,11313
2015-06-27,6552
2015-06-28,5631
2015-06-29,6976
2015-06-30,6748
2015-07-01,5978
2015-07-02,6319
2015-07-03,6119
2015-07-04,4305
2015-07-05,4849
2015-07-06,7667
2015-07-07,7386
2015-07-08,5712
2015-07-09,5500
2015-07-10,5914
2015-07-11,3995
2015-07-12,4308
2015-07-13,6427
2015-07-14,6159
2015-07-15,6215
2015-07-16,6163
2015-07-17,5176
2015-07-18,3391
2015-07-19,3056
2015-07-20,5124
2015-07-21,6256
2015-07-22,6520
2015-07-23,6770
2015-07-24,5858
2015-07-25,3943
2015-07-26,3543
2015-07-27,5344
2015-07-28,5851
2015-07-29,7435
2015-07-30,6941
2015-07-31,6248
2015-08-01,4307
2015-08-02,4053
2015-08-03,5396
2015-08-04,4859
2015-08-05,5415
2015-08-06,5594
2015-08-07,6238
2015-08-08,4025
2015-08-09,2848
2015-08-10,4502
2015-08-11,4412
2015-08-12,4518
2015-08-13,4609
2015-08-14,4330
2015-08-15,2831
2015-08-16,2713
2015-08-17,3800
2015-08-18,4247
2015-08-19,4433
2015-08-20,5011
2015-08-21,5323
2015-08-22,6014
2015-08-23,8235
2015-08-24,6569
2015-08-25,6258
2015-08-26,6080
2015-08-27,5081
2015-08-28,4561
2015-08-29,4009
2015-08-30,4102
2015-08-31,5911
2015-09-01,5717
2015-09-02,5813
2015-09-03,6741
2015-09-04,5727
2015-09-05,3601
2015-09-06,3844
2015-09-07,7637
2015-09-08,7246
2015-09-09,7085
2015-09-10,6539
2015-09-11,5674
2015-09-12,4226
2015-09-13,3930
2015-09-14,5752
2015-09-15,6740
2015-09-16,6405
2015-09-17,6191
2015-09-18,5417
2015-09-19,3709
2015-09-20,3504
2015-09-21,5736
2015-09-22,7424
2015-09-23,6678
2015-09-24,5732
2015-09-25,5268
2015-09-26,3300
2015-09-27,4681
2015-09-28,6275
2015-09-29,6145
2015-09-30,7047
2015-10-01,6863
2015-10-02,7751
2015-10-03,4669
2015-10-04,3911
2015-10-05,6401
2015-10-06,6844
2015-10-07,6782
2015-10-08,6639
2015-10-09,6021
2015-10-10,4899
2015-10-11,4032
2015-10-12,6196
2015-10-13,6099
2015-10-14,6207
2015-10-15,5528
2015-10-16,5623
2015-10-17,3313
2015-10-18,4182
2015-10-19,7057
2015-10-20,6442
2015-10-21,1125
2015-10-22,809
2015-10-23,7491
2015-10-24,4055
2015-10-25,3497
2015-10-26,5518
2015-10-27,7081
2015-10-28,7134
2015-10-29,7096
2015-10-30,6005
2015-10-31,3484
2015-11-01,3893
2015-11-02,5691
2015-11-03,6153
2015-11-04,6469
2015-11-05,6331
2015-11-06,6461
2015-11-07,4015
2015-11-08,3730
2015-11-09,6384
2015-11-10,6730
2015-11-11,7161
2015-11-12,7109
2015-11-13,7652
2015-11-14,29110
2015-11-15,25563
2015-11-16,33897
2015-11-17,25037
2015-11-18,25506
2015-11-19,23196
2015-11-20,21445
2015-11-21,14343
2015-11-22,11348
2015-11-23,16255
2015-11-24,17070
2015-11-25,16498
2015-11-26,13925
2015-11-27,13057
2015-11-28,9296
2015-11-29,10385
2015-11-30,15871
2015-12-01,13845
2015-12-02,11834
2015-12-03,10752
2015-12-04,11038
2015-12-05,7251
2015-12-06,6925
2015-12-07,10040
2015-12-08,9240
2015-12-09,9763
2015-12-10,8892
2015-12-11,8562
2015-12-12,6924
2015-12-13,6658
2015-12-14,9197
2015-12-15,8366
2015-12-16,8044
2015-12-17,7611
2015-12-18,6775
2015-12-19,4568
2015-12-20,4667
2015-12-21,6490
2015-12-22,6058
2015-12-23,6244
2015-12-24,4810
2015-12-25,3469
2015-12-26,3906
2015-12-27,3887
2015-12-28,4781
2015-12-29,5551
2015-12-30,6105
2015-12-31,5401
2016-01-01,4204
2016-01-02,3496
2016-01-03,3019
2016-01-04,5200
2016-01-05,5325
2016-01-06,5680
2016-01-07,7123
2016-01-08,6132
2016-01-09,4560
2016-01-10,4631
2016-01-11,6053
2016-01-12,5771
2016-01-13,6545
2016-01-14,7145
2016-01-15,6166
2016-01-16,5588
2016-01-17,4217
2016-01-18,6387
2016-01-19,6631
2016-01-20,6829
2016-01-21,7339
2016-01-22,7014
2016-01-23,4688
2016-01-24,5285
2016-01-25,8213
2016-01-26,8044
2016-01-27,8505
2016-01-28,9014
2016-01-29,7410
2016-01-30,5315
2016-01-31,5055
2016-02-01,8264
2016-02-02,7237
2016-02-03,6788
2016-02-04,6589
2016-02-05,6684
2016-02-06,4055
2016-02-07,3913
2016-02-08,5910
2016-02-09,5552
2016-02-10,6415
2016-02-11,6672
2016-02-12,5857
2016-02-13,4555
2016-02-14,3899
2016-02-15,5672
2016-02-16,6922
2016-02-17,6357
2016-02-18,5721
2016-02-19,6496
2016-02-20,4311
2016-02-21,3600
2016-02-22,5314
2016-02-23,6319
2016-02-24,6177
2016-02-25,6603
2016-02-26,5452
2016-02-27,3759
2016-02-28,3514
2016-02-29,5310
2016-03-01,6017
2016-03-02,5923
2016-03-03,7786
2016-03-04,7620
2016-03-05,4387
2016-03-06,3711
2016-03-07,6489
2016-03-08,6098
2016-03-09,6768
2016-03-10,6244
2016-03-11,6307
2016-03-12,4547
2016-03-13,5040
2016-03-14,7114
2016-03-15,7304
2016-03-16,7312
2016-03-17,6209
2016-03-18,7914
2016-03-19,6787
2016-03-20,5977
2016-03-21,7660
2016-03-22,10775
2016-03-23,9861
2016-03-24,9124
2016-03-25,8409
2016-03-26,5481
2016-03-27,5177
2016-03-28,6213
2016-03-29,5983
2016-03-30,6952
2016-03-31,8066
2016-04-01,7383
2016-04-02,5157
2016-04-03,4892
2016-04-04,6413
2016-04-05,6685
2016-04-06,6784
2016-04-07,7193
2016-04-08,7365
2016-04-09,6033
2016-04-10,5460
2016-04-11,6698
2016-04-12,6355
2016-04-13,7192
2016-04-14,6955
2016-04-15,6398
2016-04-16,4784
2016-04-17,5438
2016-04-18,6627
2016-04-19,6237
2016-04-20,6957
2016-04-21,7176
2016-04-22,8026
2016-04-23,5341
2016-04-24,4276
2016-04-25,6712
2016-04-26,7934
2016-04-27,7757
2016-04-28,8271
2016-04-29,7303
2016-04-30,4157
2016-05-01,4286
2016-05-02,6043
2016-05-03,6647
2016-05-04,6840
2016-05-05,5194
2016-05-06,5077
2016-05-07,3376
2016-05-08,3586
2016-05-09,6411
2016-05-10,7315
2016-05-11,7023
2016-05-12,6678
2016-05-13,6307
2016-05-14,4818
2016-05-15,5173
2016-05-16,6086
2016-05-17,8415
2016-05-18,7180
2016-05-19,10302
2016-05-20,9957
2016-05-21,5870
2016-05-22,4824
2016-05-23,7597
2016-05-24,8950
2016-05-25,8084
2016-05-26,8505
2016-05-27,7126
2016-05-28,4799
2016-05-29,4992
2016-05-30,6220
2016-05-31,7579
2016-06-01,7159
2016-06-02,7934
2016-06-03,8941
2016-06-04,6244
2016-06-05,4685
2016-06-06,6501
2016-06-07,6487
2016-06-08,6389
2016-06-09,6913
2016-06-10,6102
2016-06-11,3702
2016-06-12,3680
2016-06-13,6301
2016-06-14,10180
2016-06-15,8845
2016-06-16,7548
2016-06-17,7054
2016-06-18,3993
2016-06-19,4123
2016-06-20,6334
2016-06-21,7135
2016-06-22,7473
2016-06-23,7192
2016-06-24,7485
2016-06-25,5698
2016-06-26,4585
2016-06-27,7528
2016-06-28,7982
2016-06-29,7806
2016-06-30,7689
2016-07-01,6909
2016-07-02,4466
2016-07-03,4316
2016-07-04,6576
2016-07-05,8009
2016-07-06,7434
2016-07-07,6432
2016-07-08,5720
2016-07-09,3880
2016-07-10,3901
2016-07-11,5905
2016-07-12,6470
2016-07-13,7085
2016-07-14,7864
2016-07-15,24513
2016-07-16,11622
2016-07-17,8243
2016-07-18,9774
2016-07-19,8354
2016-07-20,8769
2016-07-21,9287
2016-07-22,8279
2016-07-23,5185
2016-07-24,4209
2016-07-25,6187
2016-07-26,15377
