date,value
2015-02-18,1091
2015-02-19,11406
2015-02-20,11067
2015-02-21,7275
2015-02-22,6854
2015-02-23,11261
2015-02-24,11688
2015-02-25,11311
2015-02-26,12943
2015-02-27,11353
2015-02-28,6451
2015-03-01,6491
2015-03-02,11367
2015-03-03,12232
2015-03-04,12558
2015-03-05,11290
2015-03-06,9875
2015-03-07,6702
2015-03-08,6366
2015-03-09,10541
2015-03-10,10505
2015-03-11,11076
2015-03-12,11369
2015-03-13,12288
2015-03-14,7210
2015-03-15,6761
2015-03-16,10939
2015-03-17,11378
2015-03-18,11010
2015-03-19,11110
2015-03-20,10242
2015-03-21,7012
2015-03-22,6860
2015-03-23,10865
2015-03-24,10557
2015-03-25,10858
2015-03-26,11991
2015-03-27,11003
2015-03-28,6701
2015-03-29,6267
2015-03-30,10470
2015-03-31,10058
2015-04-01,9770
2015-04-02,10032
2015-04-03,7433
2015-04-04,5229
2015-04-05,5066
2015-04-06,6863
2015-04-07,9188
2015-04-08,9196
2015-04-09,10036
2015-04-10,8611
2015-04-11,5259
2015-04-12,4607
2015-04-13,8011
2015-04-14,9662
2015-04-15,9880
2015-04-16,9717
2015-04-17,9334
2015-04-18,5198
2015-04-19,4976
2015-04-20,9487
2015-04-21,9976
2015-04-22,9382
2015-04-23,10325
2015-04-24,10228
2015-04-25,6346
2015-04-26,5392
2015-04-27,8767
2015-04-28,9120
2015-04-29,10329
2015-04-30,11086
2015-05-01,9430
2015-05-02,6581
2015-05-03,6315
2015-05-04,8194
2015-05-05,11001
2015-05-06,11908
2015-05-07,11955
2015-05-08,14874
2015-05-09,7578
2015-05-10,6497
2015-05-11,10284
2015-05-12,10729
2015-05-13,11254
2015-05-14,10800
2015-05-15,9781
2015-05-16,5910
2015-05-17,5768
2015-05-18,10304
2015-05-19,10939
2015-05-20,10562
2015-05-21,9904
2015-05-22,10552
2015-05-23,5535
2015-05-24,5408
2015-05-25,7079
2015-05-26,9393
2015-05-27,9977
2015-05-28,9809
2015-05-29,9292
2015-05-30,4945
2015-05-31,4632
2015-06-01,8288
2015-06-02,10120
2015-06-03,9292
2015-06-04,8988
2015-06-05,9283
2015-06-06,5803
2015-06-07,7011
2015-06-08,10257
2015-06-09,9935
2015-06-10,10424
2015-06-11,10848
2015-06-12,10209
2015-06-13,5594
2015-06-14,6443
2015-06-15,11504
2015-06-16,11727
2015-06-17,10998
2015-06-18,11547
2015-06-19,10833
2015-06-20,5646
2015-06-21,6131
2015-06-22,10185
2015-06-23,10938
2015-06-24,11475
2015-06-25,11887
2015-06-26,11533
2015-06-27,7666
2015-06-28,6757
2015-06-29,11149
2015-06-30,10466
2015-07-01,11283
2015-07-02,11072
2015-07-03,10096
2015-07-04,7909
2015-07-05,8507
2015-07-06,11880
2015-07-07,12891
2015-07-08,12091
2015-07-09,12714
2015-07-10,12357
2015-07-11,7026
2015-07-12,6795
2015-07-13,11204
2015-07-14,12894
2015-07-15,12480
2015-07-16,12015
2015-07-17,11839
2015-07-18,6568
2015-07-19,6998
2015-07-20,11152
2015-07-21,10994
2015-07-22,10871
2015-07-23,11485
2015-07-24,10896
2015-07-25,6714
2015-07-26,6593
2015-07-27,10625
2015-07-28,11375
2015-07-29,11805
2015-07-30,12389
2015-07-31,11725
2015-08-01,7056
2015-08-02,6221
2015-08-03,9917
2015-08-04,11369
2015-08-05,11549
2015-08-06,11371
2015-08-07,9196
2015-08-08,6114
2015-08-09,5830
2015-08-10,10130
2015-08-11,10659
2015-08-12,10976
2015-08-13,12985
2015-08-14,10670
2015-08-15,6569
2015-08-16,5671
2015-08-17,8985
2015-08-18,10681
2015-08-19,10779
2015-08-20,12569
2015-08-21,11002
2015-08-22,6838
2015-08-23,10330
2015-08-24,12002
2015-08-25,11506
2015-08-26,10351
2015-08-27,10466
2015-08-28,9514
2015-08-29,6484
2015-08-30,7038
2015-08-31,9436
2015-09-01,11371
2015-09-02,11985
2015-09-03,12462
2015-09-04,12412
2015-09-05,7415
2015-09-06,7260
2015-09-07,11756
2015-09-08,15135
2015-09-09,16189
2015-09-10,14183
2015-09-11,12924
2015-09-12,8415
2015-09-13,7591
2015-09-14,13267
2015-09-15,12928
2015-09-16,12783
2015-09-17,12163
2015-09-18,11755
2015-09-19,7433
2015-09-20,7430
2015-09-21,11443
2015-09-22,11462
2015-09-23,11528
2015-09-24,11600
2015-09-25,11461
2015-09-26,6602
2015-09-27,6167
2015-09-28,11116
2015-09-29,13145
2015-09-30,12759
2015-10-01,11959
2015-10-02,11504
2015-10-03,7552
2015-10-04,7367
2015-10-05,11007
2015-10-06,12630
2015-10-07,12416
2015-10-08,12247
2015-10-09,12679
2015-10-10,6707
2015-10-11,7045
2015-10-12,12379
2015-10-13,12512
2015-10-14,13455
2015-10-15,13759
2015-10-16,13068
2015-10-17,7152
2015-10-18,7481
2015-10-19,12797
2015-10-20,13993
2015-10-21,2513
2015-10-22,1566
2015-10-23,14140
2015-10-24,7639
2015-10-25,7116
2015-10-26,11988
2015-10-27,12586
2015-10-28,13610
2015-10-29,13435
2015-10-30,13407
2015-10-31,6916
2015-11-01,6624
2015-11-02,11551
2015-11-03,12992
2015-11-04,14818
2015-11-05,16554
2015-11-06,16051
2015-11-07,9150
2015-11-08,9454
2015-11-09,13539
2015-11-10,15044
2015-11-11,14451
2015-11-12,14683
2015-11-13,15727
2015-11-14,9162
2015-11-15,7186
2015-11-16,11535
2015-11-17,12503
2015-11-18,12035
2015-11-19,13155
2015-11-20,11871
2015-11-21,7022
2015-11-22,6228
2015-11-23,12086
2015-11-24,12527
2015-11-25,12782
2015-11-26,12870
2015-11-27,11601
2015-11-28,7180
2015-11-29,6965
2015-11-30,11274
2015-12-01,12823
2015-12-02,14181
2015-12-03,15342
2015-12-04,12905
2015-12-05,8288
2015-12-06,8953
2015-12-07,12440
2015-12-08,11620
2015-12-09,12726
2015-12-10,12378
2015-12-11,12027
2015-12-12,6879
2015-12-13,6716
2015-12-14,11713
2015-12-15,11359
2015-12-16,11410
2015-12-17,12689
2015-12-18,11846
2015-12-19,6114
2015-12-20,5405
2015-12-21,9001
2015-12-22,9602
2015-12-23,9840
2015-12-24,8432
2015-12-25,4452
2015-12-26,4560
2015-12-27,5517
2015-12-28,7201
2015-12-29,7256
2015-12-30,8359
2015-12-31,7804
2016-01-01,5549
2016-01-02,5118
2016-01-03,6031
2016-01-04,10539
2016-01-05,11468
2016-01-06,11045
2016-01-07,11144
2016-01-08,10438
2016-01-09,6642
2016-01-10,6552
2016-01-11,10787
2016-01-12,11381
2016-01-13,11701
2016-01-14,11905
2016-01-15,11557
2016-01-16,7253
2016-01-17,6651
2016-01-18,11565
2016-01-19,12763
2016-01-20,13921
2016-01-21,16122
2016-01-22,12804
2016-01-23,8036
2016-01-24,7251
2016-01-25,12024
2016-01-26,12403
2016-01-27,12165
2016-01-28,12710
2016-01-29,13164
2016-01-30,7570
2016-01-31,8008
2016-02-01,13945
2016-02-02,13305
2016-02-03,13874
2016-02-04,16845
2016-02-05,16481
2016-02-06,8688
2016-02-07,7591
2016-02-08,12358
2016-02-09,12496
2016-02-10,13334
2016-02-11,13142
2016-02-12,12448
2016-02-13,7436
2016-02-14,7203
2016-02-15,11772
2016-02-16,12866
2016-02-17,12875
2016-02-18,14025
2016-02-19,13476
2016-02-20,8940
2016-02-21,7910
2016-02-22,12158
2016-02-23,13683
2016-02-24,13363
2016-02-25,13414
2016-02-26,12025
2016-02-27,7761
2016-02-28,6846
2016-02-29,11289
2016-03-01,12608
2016-03-02,12167
2016-03-03,13641
2016-03-04,12211
2016-03-05,7038
2016-03-06,6982
2016-03-07,12512
2016-03-08,12055
2016-03-09,11940
2016-03-10,12447
2016-03-11,11337
2016-03-12,7190
2016-03-13,7301
2016-03-14,11706
2016-03-15,11999
2016-03-16,12035
2016-03-17,11741
2016-03-18,10423
2016-03-19,6504
2016-03-20,5713
2016-03-21,10656
2016-03-22,13148
2016-03-23,12870
2016-03-24,11706
2016-03-25,8209
2016-03-26,6301
2016-03-27,6422
2016-03-28,7977
2016-03-29,10733
2016-03-30,12725
2016-03-31,12146
2016-04-01,11462
2016-04-02,7411
2016-04-03,6532
2016-04-04,11809
2016-04-05,12862
2016-04-06,12861
2016-04-07,13817
2016-04-08,13007
2016-04-09,8106
2016-04-10,9243
2016-04-11,12485
2016-04-12,12104
2016-04-13,13052
2016-04-14,12236
2016-04-15,12491
2016-04-16,7607
2016-04-17,7111
2016-04-18,13565
2016-04-19,13645
2016-04-20,15451
2016-04-21,15418
2016-04-22,16659
2016-04-23,10649
2016-04-24,10024
2016-04-25,14942
2016-04-26,15406
2016-04-27,14242
2016-04-28,14170
2016-04-29,14342
2016-04-30,7958
2016-05-01,7816
2016-05-02,9605
2016-05-03,14165
2016-05-04,14235
2016-05-05,13928
2016-05-06,13566
2016-05-07,9066
2016-05-08,7780
2016-05-09,14306
2016-05-10,15006
2016-05-11,15821
2016-05-12,15998
2016-05-13,14020
2016-05-14,8551
2016-05-15,8197
2016-05-16,13571
2016-05-17,14217
2016-05-18,14352
2016-05-19,13838
2016-05-20,13844
2016-05-21,7986
2016-05-22,7839
2016-05-23,13522
2016-05-24,15151
2016-05-25,14906
2016-05-26,15169
2016-05-27,13939
2016-05-28,8002
2016-05-29,7521
2016-05-30,9594
2016-05-31,13686
2016-06-01,13689
2016-06-02,14169
2016-06-03,12310
2016-06-04,8634
2016-06-05,7229
2016-06-06,12762
2016-06-07,13112
2016-06-08,13885
2016-06-09,14157
2016-06-10,13259
2016-06-11,8268
2016-06-12,7744
2016-06-13,12171
2016-06-14,14242
2016-06-15,15382
2016-06-16,18700
2016-06-17,18513
2016-06-18,11453
2016-06-19,9715
2016-06-20,16170
2016-06-21,18382
2016-06-22,18918
2016-06-23,19153
2016-06-24,34373
2016-06-25,20705
2016-06-26,17815
2016-06-27,25938
2016-06-28,26037
2016-06-29,26235
2016-06-30,21616
2016-07-01,18137
2016-07-02,10491
2016-07-03,9618
2016-07-04,16410
2016-07-05,17719
2016-07-06,19075
2016-07-07,17191
2016-07-08,15495
2016-07-09,10295
2016-07-10,8793
2016-07-11,16613
2016-07-12,17568
2016-07-13,18193
2016-07-14,18655
2016-07-15,16335
2016-07-16,8370
2016-07-17,8506
2016-07-18,15603
2016-07-19,15042
2016-07-20,15369
2016-07-21,15786
2016-07-22,13303
2016-07-23,6796
2016-07-24,6990
2016-07-25,12476
2016-07-26,13752
2016-07-27,12950
2016-07-28,13679
2016-07-29,13900
2016-07-30,7728
2016-07-31,6408
2016-08-01,11490
2016-08-02,12760
2016-08-03,12824
2016-08-04,14436
2016-08-05,12562
2016-08-06,7519
2016-08-07,6075
2016-08-08,12304
2016-08-09,11825
2016-08-10,11975
2016-08-11,12361
2016-08-12,12926
2016-08-13,7111
2016-08-14,7236
2016-08-15,10032
2016-08-16,11991
2016-08-17,12372
2016-08-18,12499
2016-08-19,11325
2016-08-20,6558
2016-08-21,6465
2016-08-22,11636
2016-08-23,12491
2016-08-24,13651
2016-08-25,13953
2016-08-26,11590
2016-08-27,6704
2016-08-28,6655
2016-08-29,9010
2016-08-30,11934
2016-08-31,13408
2016-09-01,14268
2016-09-02,13582
2016-09-03,7832
2016-09-04,8478
2016-09-05,14744
2016-09-06,16068
2016-09-07,15309
2016-09-08,15287
2016-09-09,13063
2016-09-10,7489
2016-09-11,7217
2016-09-12,13670
2016-09-13,14800
2016-09-14,15537
2016-09-15,14947
2016-09-16,15459
2016-09-17,9138
2016-09-18,7210
2016-09-19,13757
2016-09-20,14697
2016-09-21,15451
2016-09-22,14237
2016-09-23,13865
2016-09-24,8849
2016-09-25,9423
2016-09-26,14503
2016-09-27,15730
2016-09-28,15402
2016-09-29,14180
2016-09-30,13727
2016-10-01,7293
2016-10-02,8338
2016-10-03,13334
2016-10-04,13742
2016-10-05,15379
2016-10-06,14515
2016-10-07,14449
2016-10-08,8107
2016-10-09,9358
2016-10-10,12921
2016-10-11,14482
2016-10-12,14486
2016-10-13,14721
2016-10-14,14829
2016-10-15,9571
2016-10-16,9890
2016-10-17,15804
2016-10-18,15298
2016-10-19,14413
2016-10-20,15798
2016-10-21,15424
2016-10-22,9904
2016-10-23,8376
2016-10-24,13921
2016-10-25,15579
2016-10-26,15215
2016-10-27,14321
2016-10-28,13856
2016-10-29,7923
2016-10-30,7251
2016-10-31,13046
2016-11-01,14390
2016-11-02,15242
2016-11-03,15137
2016-11-04,15675
2016-11-05,9347
2016-11-06,9142
2016-11-07,15181
2016-11-08,15016
2016-11-09,14348
2016-11-10,14176
2016-11-11,12785
2016-11-12,7903
2016-11-13,8763
2016-11-14,14220
2016-11-15,14889
2016-11-16,14538
2016-11-17,13335
2016-11-18,14116
2016-11-19,7411
2016-11-20,7264
2016-11-21,12406
2016-11-22,14124
2016-11-23,15286
2016-11-24,13182
2016-11-25,12495
2016-11-26,6869
2016-11-27,6951
2016-11-28,13306
2016-11-29,14365
2016-11-30,14170
2016-12-01,13104
2016-12-02,13682
2016-12-03,8037
2016-12-04,7443
2016-12-05,13910
2016-12-06,14914
2016-12-07,14816
2016-12-08,14952
2016-12-09,12582
2016-12-10,7473
2016-12-11,6725
2016-12-12,12625
2016-12-13,13876
2016-12-14,13814
2016-12-15,13752
2016-12-16,12917
2016-12-17,7041
2016-12-18,7176
2016-12-19,13035
2016-12-20,11466
2016-12-21,11957
2016-12-22,10041
2016-12-23,9236
2016-12-24,6484
2016-12-25,4922
2016-12-26,5654
2016-12-27,7225
2016-12-28,8510
2016-12-29,7493
2016-12-30,8070
2016-12-31,6054
2017-01-01,5796
2017-01-02,6698
2017-01-03,11611
2017-01-04,12153
2017-01-05,11787
2017-01-06,11320
2017-01-07,6125
2017-01-08,9071
2017-01-09,14309
2017-01-10,14135
2017-01-11,13391
2017-01-12,14615
2017-01-13,13630
2017-01-14,7814
2017-01-15,7871
2017-01-16,14452
2017-01-17,17484
2017-01-18,15678
2017-01-19,14649
2017-01-20,12969
2017-01-21,9455
2017-01-22,9819
2017-01-23,14858
2017-01-24,16629
2017-01-25,15800
2017-01-26,16014
2017-01-27,16725
2017-01-28,11077
2017-01-29,10938
2017-01-30,18300
2017-01-31,17776
2017-02-01,16236
2017-02-02,16580
2017-02-03,13909
2017-02-04,8568
2017-02-05,7729
2017-02-06,16889
2017-02-07,15510
2017-02-08,15538
2017-02-09,15530
2017-02-10,12537
2017-02-11,8612
2017-02-12,7548
2017-02-13,13564
2017-02-14,14154
2017-02-15,14972
2017-02-16,14643
2017-02-17,14509
2017-02-18,8071
2017-02-19,7844
2017-02-20,14853
2017-02-21,16876
2017-02-22,15508
2017-02-23,14160
2017-02-24,13354
2017-02-25,8124
2017-02-26,7819
2017-02-27,12794
2017-02-28,14264
2017-03-01,14494
2017-03-02,13739
2017-03-03,13595
2017-03-04,8854
2017-03-05,8490
2017-03-06,14810
2017-03-07,13851
2017-03-08,14456
2017-03-09,14101
2017-03-10,14634
2017-03-11,8164
2017-03-12,7960
2017-03-13,15283
2017-03-14,15069
2017-03-15,15081
2017-03-16,15614
2017-03-17,16319
2017-03-18,11025
2017-03-19,7556
2017-03-20,15104
2017-03-21,16277
2017-03-22,22542
2017-03-23,26839
2017-03-24,19884
2017-03-25,11836
2017-03-26,9271
2017-03-27,15145
2017-03-28,17454
2017-03-29,23846
2017-03-30,17329
2017-03-31,16234
2017-04-01,9643
2017-04-02,9657
2017-04-03,14809
2017-04-04,15944
2017-04-05,15999
2017-04-06,14971
2017-04-07,14719
2017-04-08,9049
2017-04-09,7793
2017-04-10,13362
2017-04-11,13356
2017-04-12,12532
2017-04-13,11583
2017-04-14,8358
2017-04-15,5818
2017-04-16,6880
2017-04-17,7817
2017-04-18,13587
2017-04-19,13025
2017-04-20,13443
2017-04-21,11906
2017-04-22,6381
2017-04-23,6869
2017-04-24,11198
2017-04-25,13244
2017-04-26,13701
2017-04-27,16201
2017-04-28,12430
2017-04-29,9054
2017-04-30,6957
2017-05-01,8986
2017-05-02,11671
2017-05-03,13958
2017-05-04,12684
2017-05-05,11417
2017-05-06,7262
2017-05-07,6986
2017-05-08,11935
2017-05-09,11831
2017-05-10,11967
2017-05-11,11799
2017-05-12,12496
2017-05-13,8041
2017-05-14,7362
2017-05-15,11914
2017-05-16,11859
2017-05-17,12545
2017-05-18,13083
2017-05-19,14157
2017-05-20,7853
2017-05-21,7519
2017-05-22,11990
2017-05-23,19820
2017-05-24,18456
2017-05-25,20569
2017-05-26,16981
2017-05-27,11177
2017-05-28,10371
2017-05-29,10936
2017-05-30,13481
2017-05-31,12119
2017-06-01,12892
2017-06-02,12241
2017-06-03,7791
2017-06-04,17241
2017-06-05,20825
2017-06-06,19906
2017-06-07,17454
2017-06-08,16048
2017-06-09,22030
2017-06-10,11823
2017-06-11,11834
2017-06-12,14078
2017-06-13,14598
2017-06-14,14897
2017-06-15,14594
2017-06-16,13465
2017-06-17,9487
2017-06-18,8574
2017-06-19,18870
2017-06-20,15675
2017-06-21,14840
2017-06-22,14299
2017-06-23,14184
2017-06-24,8582
2017-06-25,7941
2017-06-26,13220
2017-06-27,11932
2017-06-28,11130
2017-06-29,11612
2017-06-30,11052
2017-07-01,7720
2017-07-02,6822
2017-07-03,10106
2017-07-04,10789
2017-07-05,10862
2017-07-06,11042
2017-07-07,10016
2017-07-08,8089
2017-07-09,7070
2017-07-10,11348
2017-07-11,11705
2017-07-12,13456
2017-07-13,12108
2017-07-14,10583
2017-07-15,6284
2017-07-16,6564
2017-07-17,11828
2017-07-18,10940
2017-07-19,11047
2017-07-20,10758
2017-07-21,10117
2017-07-22,6116
2017-07-23,6391
2017-07-24,10979
2017-07-25,11343
2017-07-26,10426
2017-07-27,11010
2017-07-28,10783
2017-07-29,6880
2017-07-30,6544
2017-07-31,11320
2017-08-01,10635
2017-08-02,10737
2017-08-03,11467
2017-08-04,10128
2017-08-05,6920
2017-08-06,6430
2017-08-07,10278
2017-08-08,10557
2017-08-09,9943
2017-08-10,9756
2017-08-11,9237
2017-08-12,5773
2017-08-13,5781
2017-08-14,8828
2017-08-15,10133
2017-08-16,11640
2017-08-17,12247
2017-08-18,9130
2017-08-19,6958
2017-08-20,6840
2017-08-21,9727
2017-08-22,9405
2017-08-23,10415
2017-08-24,8266
2017-08-25,9609
2017-08-26,7092
2017-08-27,6158
2017-08-28,6144
2017-08-29,258
2017-08-30,4531
2017-08-31,11648
2017-09-01,10604
2017-09-02,6546
2017-09-03,6866
2017-09-04,11319
2017-09-05,11944
2017-09-06,11822
2017-09-07,12423
2017-09-08,10964
2017-09-09,6827
2017-09-10,6682
2017-09-11,11041
2017-09-12,13011
2017-09-13,12471
2017-09-14,12941
2017-09-15,14893
2017-09-16,10221
2017-09-17,9497
2017-09-18,13043
2017-09-19,12877
2017-09-20,13451
2017-09-21,13168
2017-09-22,11972
2017-09-23,7520
2017-09-24,7243
2017-09-25,12603
2017-09-26,11957
2017-09-27,11242
2017-09-28,11123
2017-09-29,10606
2017-09-30,6218
2017-10-01,5980
2017-10-02,10644
2017-10-03,11331
2017-10-04,11050
2017-10-05,11156
2017-10-06,10050
2017-10-07,6523
2017-10-08,6057
2017-10-09,10631
2017-10-10,10774
2017-10-11,11496
2017-10-12,12222
2017-10-13,11706
2017-10-14,7147
2017-10-15,7159
2017-10-16,11018
2017-10-17,11978
2017-10-18,11481
2017-10-19,12473
2017-10-20,12590
2017-10-21,6206
2017-10-22,6029
2017-10-23,11521
2017-10-24,11455
2017-10-25,10940
2017-10-26,11441
2017-10-27,10812
2017-10-28,6823
2017-10-29,6685
2017-10-30,11035
2017-10-31,11883
2017-11-01,13165
2017-11-02,14522
2017-11-03,12506
2017-11-04,6990
2017-11-05,6580
2017-11-06,11924
2017-11-07,13281
2017-11-08,13814
2017-11-09,13067
2017-11-10,12260
2017-11-11,7074
2017-11-12,6780
2017-11-13,11758
2017-11-14,11704
2017-11-15,11828
2017-11-16,11523
2017-11-17,11060
2017-11-18,6482
2017-11-19,6300
2017-11-20,11025
2017-11-21,11809
2017-11-22,11178
2017-11-23,9971
2017-11-24,10988
2017-11-25,6131
2017-11-26,5851
2017-11-27,11439
2017-11-28,13395
2017-11-29,14377
2017-11-30,14489
2017-12-01,12654
2017-12-02,6882
2017-12-03,5873
2017-12-04,11982
2017-12-05,11973
2017-12-06,13664
2017-12-07,12948
2017-12-08,13724
2017-12-09,6962
2017-12-10,6655
2017-12-11,9623
2017-12-12,9975
2017-12-13,11671
2017-12-14,11434
2017-12-15,10269
2017-12-16,5630
2017-12-17,5439
2017-12-18,9521
2017-12-19,10417
2017-12-20,10726
2017-12-21,10279
2017-12-22,8367
2017-12-23,5182
2017-12-24,4620
2017-12-25,4071
2017-12-26,5406
2017-12-27,6531
2017-12-28,6718
2017-12-29,6958
2017-12-30,4735
2017-12-31,4844
2018-01-01,5262
2018-01-02,6693
2018-01-03,8213
2018-01-04,8587
2018-01-05,8435
2018-01-06,5545
2018-01-07,5035
2018-01-08,10048
2018-01-09,11458
2018-01-10,11297
2018-01-11,11672
2018-01-12,11842
2018-01-13,6633
2018-01-14,5920
2018-01-15,10016
2018-01-16,11222
2018-01-17,11955
2018-01-18,12152
2018-01-19,11373
2018-01-20,6677
2018-01-21,6125
2018-01-22,10473
2018-01-23,10952
2018-01-24,11129
2018-01-25,12510
2018-01-26,11250
2018-01-27,6678
2018-01-28,6169
2018-01-29,9885
2018-01-30,10439
2018-01-31,11288
2018-02-01,11787
2018-02-02,11753
2018-02-03,6875
2018-02-04,5936
2018-02-05,11276
2018-02-06,12466
2018-02-07,11217
2018-02-08,10979
2018-02-09,11178
2018-02-10,6783
