date,value
2015-02-18,694
2015-02-19,4522
2015-02-20,3770
2015-02-21,3291
2015-02-22,3855
2015-02-23,5303
2015-02-24,5412
2015-02-25,5377
2015-02-26,5543
2015-02-27,4774
2015-02-28,4013
2015-03-01,4882
2015-03-02,7293
2015-03-03,10413
2015-03-04,10141
2015-03-05,7611
2015-03-06,5943
2015-03-07,4762
2015-03-08,4415
2015-03-09,6012
2015-03-10,6474
2015-03-11,6075
2015-03-12,6380
2015-03-13,5059
2015-03-14,4085
2015-03-15,5103
2015-03-16,7057
2015-03-17,5934
2015-03-18,4862
2015-03-19,4675
2015-03-20,5854
2015-03-21,5029
2015-03-22,4500
2015-03-23,4595
2015-03-24,4973
2015-03-25,4983
2015-03-26,7309
2015-03-27,7462
2015-03-28,5628
2015-03-29,5967
2015-03-30,7878
2015-03-31,8377
2015-04-01,7909
2015-04-02,8770
2015-04-03,9986
2015-04-04,5749
2015-04-05,5768
2015-04-06,7275
2015-04-07,9233
2015-04-08,8247
2015-04-09,8737
2015-04-10,5732
2015-04-11,4580
2015-04-12,5305
2015-04-13,7699
2015-04-14,9043
2015-04-15,7955
2015-04-16,5963
2015-04-17,5266
2015-04-18,4305
2015-04-19,4480
2015-04-20,6403
2015-04-21,6607
2015-04-22,5525
2015-04-23,4731
2015-04-24,3851
2015-04-25,2742
2015-04-26,2938
2015-04-27,4632
2015-04-28,5661
2015-04-29,5560
2015-04-30,4797
2015-05-01,3714
2015-05-02,2396
2015-05-03,2925
2015-05-04,3481
2015-05-05,4105
2015-05-06,4443
2015-05-07,4624
2015-05-08,3915
2015-05-09,2950
2015-05-10,3022
2015-05-11,4500
2015-05-12,5736
2015-05-13,5860
2015-05-14,5855
2015-05-15,5075
2015-05-16,2889
2015-05-17,2744
2015-05-18,5211
2015-05-19,5389
2015-05-20,5013
2015-05-21,4478
2015-05-22,3357
2015-05-23,2924
2015-05-24,2876
2015-05-25,3671
2015-05-26,5025
2015-05-27,4495
2015-05-28,3661
2015-05-29,3512
2015-05-30,3516
2015-05-31,3337
2015-06-01,3527
2015-06-02,4112
2015-06-03,4014
2015-06-04,3635
2015-06-05,3564
2015-06-06,2510
2015-06-07,2405
2015-06-08,3692
2015-06-09,4042
2015-06-10,3636
2015-06-11,3575
2015-06-12,2775
2015-06-13,2968
2015-06-14,2729
2015-06-15,3149
2015-06-16,3990
2015-06-17,4198
2015-06-18,2690
2015-06-19,2584
2015-06-20,2099
2015-06-21,2652
2015-06-22,4425
2015-06-23,3755
2015-06-24,3608
2015-06-25,3814
2015-06-26,3587
2015-06-27,3123
2015-06-28,3513
2015-06-29,4435
2015-06-30,5401
2015-07-01,4337
2015-07-02,4183
2015-07-03,3450
2015-07-04,4105
2015-07-05,4442
2015-07-06,5441
2015-07-07,5650
2015-07-08,5054
2015-07-09,6275
2015-07-10,5711
2015-07-11,3932
2015-07-12,4494
2015-07-13,6390
2015-07-14,18190
2015-07-15,16386
2015-07-16,11132
2015-07-17,8221
2015-07-18,5740
2015-07-19,6398
2015-07-20,9105
2015-07-21,8958
2015-07-22,7893
2015-07-23,8687
2015-07-24,7103
2015-07-25,5171
2015-07-26,5835
2015-07-27,6919
2015-07-28,8194
2015-07-29,8593
2015-07-30,6397
2015-07-31,5381
2015-08-01,4161
2015-08-02,4446
2015-08-03,6469
2015-08-04,6647
2015-08-05,8325
2015-08-06,7039
2015-08-07,6780
2015-08-08,4907
2015-08-09,4684
2015-08-10,5851
2015-08-11,6555
2015-08-12,6996
2015-08-13,6568
2015-08-14,5362
2015-08-15,4118
2015-08-16,4492
2015-08-17,5476
2015-08-18,5535
2015-08-19,5860
2015-08-20,6214
2015-08-21,5661
2015-08-22,4244
2015-08-23,6498
2015-08-24,6648
2015-08-25,6161
2015-08-26,6338
2015-08-27,5683
2015-08-28,5271
2015-08-29,4042
2015-08-30,4415
2015-08-31,5197
2015-09-01,5786
2015-09-02,6364
2015-09-03,6156
2015-09-04,5986
2015-09-05,4645
2015-09-06,4163
2015-09-07,5277
2015-09-08,7030
2015-09-09,7382
2015-09-10,6393
2015-09-11,5895
2015-09-12,3882
2015-09-13,3728
2015-09-14,4663
2015-09-15,4857
2015-09-16,5620
2015-09-17,4993
2015-09-18,4675
2015-09-19,3552
2015-09-20,3954
2015-09-21,5388
2015-09-22,5275
2015-09-23,4122
2015-09-24,4004
2015-09-25,4761
2015-09-26,4830
2015-09-27,5883
2015-09-28,7300
2015-09-29,7174
2015-09-30,5923
2015-10-01,6475
2015-10-02,5452
2015-10-03,4337
2015-10-04,3741
2015-10-05,3854
2015-10-06,4071
2015-10-07,4453
2015-10-08,3910
2015-10-09,4840
2015-10-10,3413
2015-10-11,4323
2015-10-12,5181
2015-10-13,5992
2015-10-14,5707
2015-10-15,5057
2015-10-16,4644
2015-10-17,4371
2015-10-18,4499
2015-10-19,5205
2015-10-20,4409
2015-10-21,703
2015-10-22,1134
2015-10-23,4794
2015-10-24,2814
2015-10-25,2753
2015-10-26,3104
2015-10-27,4010
2015-10-28,5813
2015-10-29,6056
2015-10-30,6379
2015-10-31,3356
2015-11-01,3150
2015-11-02,4133
2015-11-03,4820
2015-11-04,4851
2015-11-05,4006
2015-11-06,3251
2015-11-07,2599
2015-11-08,3212
2015-11-09,4652
2015-11-10,4527
2015-11-11,4721
2015-11-12,4308
2015-11-13,4098
2015-11-14,3702
2015-11-15,2901
2015-11-16,3273
2015-11-17,2794
2015-11-18,3273
2015-11-19,3080
2015-11-20,3060
2015-11-21,2666
2015-11-22,3712
2015-11-23,5807
2015-11-24,4516
2015-11-25,4044
2015-11-26,3264
2015-11-27,2500
2015-11-28,3144
2015-11-29,3165
2015-11-30,3465
2015-12-01,3199
2015-12-02,3348
2015-12-03,3439
2015-12-04,3145
2015-12-05,2507
2015-12-06,2737
2015-12-07,3539
2015-12-08,3678
2015-12-09,3997
2015-12-10,3464
2015-12-11,2876
2015-12-12,2433
2015-12-13,2683
2015-12-14,3525
2015-12-15,4440
2015-12-16,4616
2015-12-17,3225
2015-12-18,3420
2015-12-19,3322
2015-12-20,3070
2015-12-21,3968
2015-12-22,3640
2015-12-23,3571
2015-12-24,2984
2015-12-25,2494
2015-12-26,2165
2015-12-27,2783
2015-12-28,3529
2015-12-29,3555
2015-12-30,3955
2015-12-31,3686
2016-01-01,2929
2016-01-02,5519
2016-01-03,9949
2016-01-04,16168
2016-01-05,15046
2016-01-06,11776
2016-01-07,10946
2016-01-08,7774
2016-01-09,6481
2016-01-10,7184
2016-01-11,7693
2016-01-12,6584
2016-01-13,9509
2016-01-14,7225
2016-01-15,6110
2016-01-16,10187
2016-01-17,15833
2016-01-18,15459
2016-01-19,12476
2016-01-20,9562
2016-01-21,8534
2016-01-22,8380
2016-01-23,6967
2016-01-24,7367
2016-01-25,8053
2016-01-26,9104
2016-01-27,8812
2016-01-28,8740
2016-01-29,7075
2016-01-30,4467
2016-01-31,3909
2016-02-01,5439
2016-02-02,5020
2016-02-03,5074
2016-02-04,4526
2016-02-05,4885
2016-02-06,3883
2016-02-07,3780
2016-02-08,4643
2016-02-09,4346
2016-02-10,4917
2016-02-11,4778
2016-02-12,4129
2016-02-13,3577
2016-02-14,4213
2016-02-15,5031
2016-02-16,5802
2016-02-17,6240
2016-02-18,4858
2016-02-19,4274
2016-02-20,3624
2016-02-21,3972
2016-02-22,5658
2016-02-23,5249
2016-02-24,5295
2016-02-25,5445
2016-02-26,5323
2016-02-27,4189
2016-02-28,3813
2016-02-29,4808
2016-03-01,4679
2016-03-02,4595
2016-03-03,3984
2016-03-04,3734
2016-03-05,3764
2016-03-06,4933
2016-03-07,5250
2016-03-08,5437
2016-03-09,6032
2016-03-10,5982
2016-03-11,5170
2016-03-12,3957
2016-03-13,3586
2016-03-14,5694
2016-03-15,5423
2016-03-16,4533
2016-03-17,3729
2016-03-18,2995
2016-03-19,2599
2016-03-20,3012
2016-03-21,3152
2016-03-22,3693
2016-03-23,3155
2016-03-24,3543
2016-03-25,3658
2016-03-26,3112
2016-03-27,2637
2016-03-28,3717
2016-03-29,4256
2016-03-30,4174
2016-03-31,3911
2016-04-01,3269
2016-04-02,3405
2016-04-03,3276
2016-04-04,4256
2016-04-05,4924
2016-04-06,4607
2016-04-07,4408
2016-04-08,4034
2016-04-09,3280
2016-04-10,3876
2016-04-11,4803
2016-04-12,5314
2016-04-13,5073
2016-04-14,3842
2016-04-15,4670
2016-04-16,5076
2016-04-17,5497
2016-04-18,5850
2016-04-19,4404
2016-04-20,5700
2016-04-21,4970
2016-04-22,4622
2016-04-23,3819
2016-04-24,3678
2016-04-25,4950
2016-04-26,4662
2016-04-27,4519
2016-04-28,3782
2016-04-29,3936
2016-04-30,3601
2016-05-01,3585
2016-05-02,4567
2016-05-03,5247
2016-05-04,4152
2016-05-05,3479
2016-05-06,3043
2016-05-07,3268
2016-05-08,3357
2016-05-09,4691
2016-05-10,5242
2016-05-11,4095
2016-05-12,4532
2016-05-13,4565
2016-05-14,3801
2016-05-15,3889
2016-05-16,4752
2016-05-17,5415
2016-05-18,5273
2016-05-19,3925
2016-05-20,3598
2016-05-21,3498
2016-05-22,3940
2016-05-23,7117
2016-05-24,5612
2016-05-25,4396
2016-05-26,3946
2016-05-27,3919
2016-05-28,4324
2016-05-29,5052
2016-05-30,4850
2016-05-31,4845
2016-06-01,4683
2016-06-02,4596
2016-06-03,4677
2016-06-04,3827
2016-06-05,3776
2016-06-06,3709
2016-06-07,3880
2016-06-08,3708
2016-06-09,3669
2016-06-10,3626
2016-06-11,2909
2016-06-12,2908
