date,value
2015-02-18,-2.345611805780131
2015-02-19,-2.8033406349555263
2015-02-20,-2.296340225932685
2015-02-21,-2.1802993760196485
2015-02-22,-1.8596880705426064
2015-02-23,-1.672819118284215
2015-02-24,-1.3850567749694191
2015-02-25,-1.655841839164454
2015-02-26,-2.963786449409898
2015-02-27,-2.81929159196103
2015-02-28,-2.198647856480831
2015-03-01,-2.121728424981382
2015-03-02,-1.921925085099498
2015-03-03,-2.0428492403258036
2015-03-04,-2.169284318453738
2015-03-05,-2.3688087312065655
2015-03-06,-2.6043874592003764
2015-03-07,-1.9732374595173696
2015-03-08,-1.6895679729208672
2015-03-09,-1.6802900468282573
2015-03-10,-1.93644831884167
2015-03-11,-2.001458771064954
2015-03-12,-2.2490918934156805
2015-03-13,-2.197289610175163
2015-03-14,-1.8263775572560619
2015-03-15,-1.7973188562041975
2015-03-16,-1.629753270502956
2015-03-17,-1.8142827443537857
2015-03-18,-1.8477630828136784
2015-03-19,-2.0787775694225687
2015-03-20,-1.6404208195051857
2015-03-21,-1.3637606826087374
2015-03-22,-1.7657290080919876
2015-03-23,-2.0183408581473166
2015-03-24,-2.2702408503082085
2015-03-25,-2.3375918803088793
2015-03-26,-2.4376846856613943
2015-03-27,-2.4781159939057176
2015-03-28,-2.0364631185723594
2015-03-29,-2.006231705282968
2015-03-30,-2.11049199799848
2015-03-31,-2.179942501964327
2015-04-01,-2.0444582644212868
2015-04-02,-1.6353751915612253
2015-04-03,-0.9202410256364221
2015-04-04,-0.9170617665208182
2015-04-05,-1.3034359246024128
2015-04-06,-1.6280848817670672
2015-04-07,-2.0843145762547364
2015-04-08,-2.1065756841044774
2015-04-09,-1.8760817190601733
2015-04-10,-2.0269625208025577
2015-04-11,-2.1576103682359418
2015-04-12,-2.3228569056982193
2015-04-13,-2.513539548201601
2015-04-14,-2.1617286419037303
2015-04-15,-1.9011049335736534
2015-04-16,-1.8500096759756792
2015-04-17,-2.327827819773969
2015-04-18,-2.6135763296192684
2015-04-19,-2.5338947866900385
2015-04-20,-2.615705350028056
2015-04-21,-2.7779324368728617
2015-04-22,-2.397026946719208
2015-04-23,-2.039180040535381
2015-04-24,-1.9530651500567826
2015-04-25,-1.8568402935247879
2015-04-26,-1.9281304024770434
2015-04-27,-1.9045695995088694
2015-04-28,-2.097945728127812
2015-04-29,-2.0579310061252984
2015-04-30,-2.5924912544125136
2015-05-01,-2.5420201099177295
2015-05-02,-2.3565615131665187
2015-05-03,-2.042879744066245
2015-05-04,-2.012255018746365
2015-05-05,-1.758689497769667
2015-05-06,-1.8862142756430516
2015-05-07,-2.1255356879328007
2015-05-08,-2.602529713178878
2015-05-09,-2.425612414449505
2015-05-10,-2.1236484370423985
2015-05-11,-2.307079478855401
2015-05-12,-1.851124000733959
2015-05-13,-2.0575867974790247
2015-05-14,-1.785795478731853
2015-05-15,-2.0905871787346264
2015-05-16,-2.367448435687658
2015-05-17,-2.3033022058272046
2015-05-18,-2.2292993031529473
2015-05-19,-2.1989920239537413
2015-05-20,-1.7292098685370973
2015-05-21,-1.9934264342389227
2015-05-22,-1.9369387498910289
2015-05-23,-1.845708382519443
2015-05-24,-1.6349220298371898
2015-05-25,-2.336384236893541
2015-05-26,-2.6224706035358505
2015-05-27,-2.103291455457833
2015-05-28,-1.9422127601249026
2015-05-29,-2.5934391371842014
2015-05-30,-1.9923395430137498
2015-05-31,-1.9496726290021076
2015-06-01,-2.5222071738959326
2015-06-02,-2.4392896470217518
2015-06-03,-2.127556594455222
2015-06-04,-2.048787571906036
2015-06-05,-1.76026019001912
2015-06-06,-1.993952564091634
2015-06-07,-2.036751960351483
2015-06-08,-2.1242536535546512
2015-06-09,-1.9463860508259339
2015-06-10,-1.847727821177104
2015-06-11,-2.5366149238956868
2015-06-12,-2.1595819803904277
2015-06-13,-2.0258930224612826
2015-06-14,-1.854185177780279
2015-06-15,-1.925936625807315
2015-06-16,-2.6625748772143405
2015-06-17,-2.1770730598511374
2015-06-18,-2.143289970414925
2015-06-19,-2.0450833115906595
2015-06-20,-2.515878459851294
2015-06-21,-1.9439137231477992
2015-06-22,-1.7319495540585783
2015-06-23,-1.8168432161932087
2015-06-24,-1.9159152392446814
2015-06-25,-1.6511954985207522
2015-06-26,-2.0861421582722492
2015-06-27,-2.1782435799788646
2015-06-28,-1.829390382058724
2015-06-29,-1.7959170854246784
2015-06-30,-1.655114673113606
2015-07-01,-1.4873919450042838
2015-07-02,-1.4484795586233297
2015-07-03,-1.3470936923765424
2015-07-04,-1.765856686649641
2015-07-05,-1.5378620575153557
2015-07-06,-1.9618881042464837
2015-07-07,-1.8904709417462613
2015-07-08,-2.0610038268931974
2015-07-09,-1.761928416887914
2015-07-10,-1.9413523513918727
2015-07-11,-2.170789717214711
2015-07-12,-1.6677170916706694
2015-07-13,-1.7672278586952845
2015-07-14,-0.8854993952657787
2015-07-15,-0.9517430958386669
2015-07-16,-1.197746737015534
2015-07-17,-1.281394036443092
2015-07-18,-1.275085213597621
2015-07-19,-1.335290134917177
2015-07-20,-1.322051929164331
2015-07-21,-1.4852585470507307
2015-07-22,-1.6212189876779122
2015-07-23,-1.6872362818764883
2015-07-24,-1.558862199296522
2015-07-25,-1.8003732058418165
2015-07-26,-1.8920190394028034
2015-07-27,-1.9097450387414077
2015-07-28,-2.0042357238419073
2015-07-29,-1.5624037333454817
2015-07-30,-1.7652606576467003
2015-07-31,-1.568686858707827
2015-08-01,-1.6540989043342562
2015-08-02,-1.676315420615781
2015-08-03,-1.7214552484810197
2015-08-04,-1.393532489470847
2015-08-05,-1.608117006540466
2015-08-06,-2.27927998944735
2015-08-07,-2.35075932232412
2015-08-08,-2.1655823172622197
2015-08-09,-2.196646703392735
2015-08-10,-2.176314921312079
2015-08-11,-1.9272431384780406
2015-08-12,-2.021205732513238
2015-08-13,-2.001895094332543
2015-08-14,-1.7434782560864774
2015-08-15,-1.89997735379286
2015-08-16,-1.968378010960427
2015-08-17,-1.8113667842814445
2015-08-18,-1.7333121073906113
2015-08-19,-1.7920720959155072
2015-08-20,-1.9317747009784432
2015-08-21,-1.8690966604249244
2015-08-22,-1.8085544946073018
2015-08-23,-1.6900333361602191
2015-08-24,-1.7967785545770598
2015-08-25,-1.6643001942404636
2015-08-26,-2.1242257390149626
2015-08-27,-1.8907893185712903
2015-08-28,-1.8422008669255394
2015-08-29,-1.8061151190730957
2015-08-30,-2.1838390535597516
2015-08-31,-2.1197799967073294
2015-09-01,-1.7239056635445762
2015-09-02,-1.3939785001647271
2015-09-03,-1.4516551614642033
2015-09-04,-1.603849019452513
2015-09-05,-1.3195189936651321
2015-09-06,-1.4264567029777018
2015-09-07,-1.5163704019199975
2015-09-08,-1.8724011472963944
