date,value
2015-02-18,104
2015-02-19,1251
2015-02-20,1384
2015-02-21,853
2015-02-22,629
2015-02-23,1182
2015-02-24,1294
2015-02-25,1293
2015-02-26,1380
2015-02-27,1201
2015-02-28,617
2015-03-01,687
2015-03-02,1239
2015-03-03,1329
2015-03-04,1266
2015-03-05,1281
2015-03-06,1091
2015-03-07,859
2015-03-08,770
2015-03-09,1211
2015-03-10,1487
2015-03-11,1344
2015-03-12,1390
2015-03-13,1044
2015-03-14,611
2015-03-15,553
2015-03-16,908
2015-03-17,1289
2015-03-18,1442
2015-03-19,1255
2015-03-20,1292
2015-03-21,609
2015-03-22,591
2015-03-23,889
2015-03-24,1336
2015-03-25,1461
2015-03-26,1249
2015-03-27,1230
2015-03-28,683
2015-03-29,661
2015-03-30,1206
2015-03-31,1455
2015-04-01,1365
2015-04-02,1222
2015-04-03,905
2015-04-04,539
2015-04-05,396
2015-04-06,1311
2015-04-07,1562
2015-04-08,1504
2015-04-09,1410
2015-04-10,1235
2015-04-11,791
2015-04-12,548
2015-04-13,1246
2015-04-14,1244
2015-04-15,1300
2015-04-16,1256
2015-04-17,1264
2015-04-18,626
2015-04-19,637
2015-04-20,1184
2015-04-21,1246
2015-04-22,1283
2015-04-23,1258
2015-04-24,1355
2015-04-25,793
2015-04-26,592
2015-04-27,1139
2015-04-28,1218
2015-04-29,1489
2015-04-30,1291
2015-05-01,1077
2015-05-02,863
2015-05-03,666
2015-05-04,1722
2015-05-05,1330
2015-05-06,1490
2015-05-07,1357
2015-05-08,1313
2015-05-09,698
2015-05-10,633
2015-05-11,1232
2015-05-12,1683
2015-05-13,1231
2015-05-14,958
2015-05-15,1049
2015-05-16,581
2015-05-17,611
2015-05-18,865
2015-05-19,1124
2015-05-20,1184
2015-05-21,1209
2015-05-22,1187
2015-05-23,643
2015-05-24,494
2015-05-25,913
2015-05-26,1253
2015-05-27,1344
2015-05-28,1436
2015-05-29,1197
2015-05-30,763
2015-05-31,503
2015-06-01,1199
2015-06-02,1299
2015-06-03,1391
2015-06-04,1378
2015-06-05,1245
2015-06-06,660
2015-06-07,512
2015-06-08,1102
2015-06-09,1400
2015-06-10,1317
2015-06-11,1135
2015-06-12,1070
2015-06-13,579
2015-06-14,592
2015-06-15,1222
2015-06-16,1278
2015-06-17,1253
2015-06-18,1359
2015-06-19,1270
2015-06-20,759
2015-06-21,630
2015-06-22,1028
2015-06-23,1389
2015-06-24,1641
2015-06-25,1481
2015-06-26,1339
2015-06-27,828
2015-06-28,685
2015-06-29,1234
2015-06-30,1382
2015-07-01,1339
2015-07-02,1353
2015-07-03,1472
2015-07-04,910
2015-07-05,914
2015-07-06,1405
2015-07-07,1570
2015-07-08,1528
2015-07-09,1436
2015-07-10,1526
2015-07-11,1335
2015-07-12,931
2015-07-13,1334
2015-07-14,1450
2015-07-15,1400
2015-07-16,1792
2015-07-17,2217
2015-07-18,843
2015-07-19,653
2015-07-20,1129
2015-07-21,1179
2015-07-22,1146
2015-07-23,1102
2015-07-24,1006
2015-07-25,625
2015-07-26,500
2015-07-27,1091
2015-07-28,1121
2015-07-29,1486
2015-07-30,1699
2015-07-31,1014
2015-08-01,675
2015-08-02,464
2015-08-03,952
2015-08-04,1042
2015-08-05,984
2015-08-06,840
2015-08-07,953
2015-08-08,634
2015-08-09,508
2015-08-10,978
2015-08-11,1164
2015-08-12,1319
2015-08-13,1111
2015-08-14,1122
2015-08-15,718
2015-08-16,700
2015-08-17,954
2015-08-18,1241
2015-08-19,1584
2015-08-20,1330
2015-08-21,1384
2015-08-22,1321
2015-08-23,1171
2015-08-24,1386
2015-08-25,1427
2015-08-26,1290
2015-08-27,1270
2015-08-28,1030
2015-08-29,912
2015-08-30,876
2015-08-31,1252
2015-09-01,1463
2015-09-02,1355
2015-09-03,1311
2015-09-04,1252
2015-09-05,699
2015-09-06,873
2015-09-07,1506
2015-09-08,1603
2015-09-09,1725
2015-09-10,1552
2015-09-11,1295
2015-09-12,731
2015-09-13,717
2015-09-14,1388
2015-09-15,1678
2015-09-16,1409
2015-09-17,1524
2015-09-18,1598
2015-09-19,1011
2015-09-20,811
2015-09-21,1402
2015-09-22,1425
2015-09-23,1301
2015-09-24,1256
2015-09-25,1148
2015-09-26,715
2015-09-27,856
2015-09-28,1673
2015-09-29,1579
2015-09-30,1597
2015-10-01,1398
2015-10-02,1438
2015-10-03,886
2015-10-04,672
2015-10-05,1219
2015-10-06,1347
2015-10-07,1572
2015-10-08,1447
2015-10-09,1334
2015-10-10,810
2015-10-11,752
2015-10-12,1287
2015-10-13,3104
2015-10-14,2180
2015-10-15,1612
2015-10-16,1452
2015-10-17,785
2015-10-18,688
2015-10-19,1304
2015-10-20,1361
2015-10-21,198
2015-10-22,90
2015-10-23,1429
2015-10-24,863
2015-10-25,716
2015-10-26,1412
2015-10-27,1648
2015-10-28,1549
2015-10-29,1411
2015-10-30,1316
2015-10-31,737
2015-11-01,679
2015-11-02,1353
2015-11-03,1424
2015-11-04,1534
2015-11-05,1611
2015-11-06,1576
2015-11-07,961
2015-11-08,837
2015-11-09,1331
2015-11-10,1373
2015-11-11,1504
2015-11-12,1292
2015-11-13,1292
2015-11-14,1391
2015-11-15,998
2015-11-16,1732
2015-11-17,1470
2015-11-18,1644
2015-11-19,1652
2015-11-20,1774
2015-11-21,929
2015-11-22,730
2015-11-23,1364
2015-11-24,1510
2015-11-25,1690
2015-11-26,1723
2015-11-27,1726
2015-11-28,919
2015-11-29,796
2015-11-30,1524
2015-12-01,1302
2015-12-02,1239
2015-12-03,1352
2015-12-04,1641
2015-12-05,694
2015-12-06,562
2015-12-07,1392
2015-12-08,1395
2015-12-09,1311
2015-12-10,1375
2015-12-11,1299
2015-12-12,820
2015-12-13,658
2015-12-14,1175
2015-12-15,1297
2015-12-16,1204
2015-12-17,1432
2015-12-18,1382
2015-12-19,788
2015-12-20,648
2015-12-21,1060
2015-12-22,1035
2015-12-23,1222
2015-12-24,904
2015-12-25,450
2015-12-26,418
2015-12-27,566
2015-12-28,821
2015-12-29,826
2015-12-30,826
2015-12-31,799
2016-01-01,693
2016-01-02,605
2016-01-03,510
2016-01-04,1091
2016-01-05,1300
2016-01-06,1233
2016-01-07,1404
2016-01-08,1324
2016-01-09,916
2016-01-10,864
2016-01-11,1214
2016-01-12,1257
2016-01-13,1243
2016-01-14,1808
2016-01-15,1429
2016-01-16,821
2016-01-17,687
2016-01-18,1435
2016-01-19,1764
2016-01-20,2056
2016-01-21,1816
2016-01-22,1633
2016-01-23,994
2016-01-24,773
