date,value
2015-02-18,28
2015-02-19,315
2015-02-20,388
2015-02-21,276
2015-02-22,213
2015-02-23,541
2015-02-24,550
2015-02-25,531
2015-02-26,500
2015-02-27,491
2015-02-28,302
2015-03-01,247
2015-03-02,1136
2015-03-03,869
2015-03-04,679
2015-03-05,1312
2015-03-06,1024
2015-03-07,432
2015-03-08,443
2015-03-09,746
2015-03-10,587
2015-03-11,461
2015-03-12,737
2015-03-13,802
2015-03-14,333
2015-03-15,246
2015-03-16,424
2015-03-17,593
2015-03-18,489
2015-03-19,415
2015-03-20,544
2015-03-21,315
2015-03-22,262
2015-03-23,417
2015-03-24,490
2015-03-25,453
2015-03-26,576
2015-03-27,584
2015-03-28,277
2015-03-29,243
2015-03-30,523
2015-03-31,539
2015-04-01,548
2015-04-02,542
2015-04-03,632
2015-04-04,405
2015-04-05,214
2015-04-06,361
2015-04-07,514
2015-04-08,679
2015-04-09,1059
2015-04-10,619
2015-04-11,281
2015-04-12,280
2015-04-13,401
2015-04-14,500
2015-04-15,451
2015-04-16,430
2015-04-17,526
2015-04-18,244
2015-04-19,182
2015-04-20,388
2015-04-21,368
2015-04-22,430
2015-04-23,699
2015-04-24,566
2015-04-25,152
2015-04-26,251
2015-04-27,468
2015-04-28,407
2015-04-29,459
2015-04-30,854
2015-05-01,559
2015-05-02,286
2015-05-03,343
2015-05-04,673
2015-05-05,485
2015-05-06,471
2015-05-07,413
2015-05-08,557
2015-05-09,643
2015-05-10,366
2015-05-11,648
2015-05-12,561
2015-05-13,1432
2015-05-14,970
2015-05-15,540
2015-05-16,457
2015-05-17,344
2015-05-18,1018
2015-05-19,977
2015-05-20,1163
2015-05-21,690
2015-05-22,654
2015-05-23,237
2015-05-24,437
2015-05-25,365
2015-05-26,490
2015-05-27,587
2015-05-28,528
2015-05-29,592
2015-05-30,297
2015-05-31,334
2015-06-01,367
2015-06-02,287
2015-06-03,450
2015-06-04,480
2015-06-05,304
2015-06-06,269
2015-06-07,163
2015-06-08,314
2015-06-09,255
2015-06-10,242
2015-06-11,325
2015-06-12,429
2015-06-13,260
2015-06-14,309
2015-06-15,832
2015-06-16,521
2015-06-17,466
2015-06-18,331
2015-06-19,308
2015-06-20,211
2015-06-21,166
2015-06-22,345
2015-06-23,588
2015-06-24,479
2015-06-25,634
2015-06-26,582
2015-06-27,205
2015-06-28,179
2015-06-29,455
2015-06-30,414
2015-07-01,363
2015-07-02,494
2015-07-03,476
2015-07-04,245
2015-07-05,312
2015-07-06,456
2015-07-07,440
2015-07-08,542
2015-07-09,584
2015-07-10,432
2015-07-11,270
2015-07-12,293
2015-07-13,550
2015-07-14,700
2015-07-15,594
2015-07-16,526
2015-07-17,589
2015-07-18,258
2015-07-19,303
2015-07-20,504
2015-07-21,624
2015-07-22,586
2015-07-23,512
2015-07-24,533
2015-07-25,259
2015-07-26,270
2015-07-27,639
2015-07-28,574
2015-07-29,508
2015-07-30,758
2015-07-31,606
