date,value
2015-02-18,-1.5532892894865504
2015-02-19,-2.476026179639474
2015-02-20,-2.08458450961373
2015-02-21,-2.2700085999566033
2015-02-22,-0.8990938640471808
2015-02-23,-1.62547239437124
2015-02-24,-2.714153860009562
2015-02-25,-2.67293514627697
2015-02-26,-2.2159957085153157
2015-02-27,-2.6458938404262353
2015-02-28,-3.100681293411846
2015-03-01,-2.603867605705115
2015-03-02,-4.16347942479116
2015-03-03,-3.5078521670901663
2015-03-04,-3.216991120906917
2015-03-05,-3.5175972623876737
2015-03-06,-3.404313859711297
2015-03-07,-3.2588266505192545
2015-03-08,-2.8276211511766953
2015-03-09,-2.6956943792192942
2015-03-10,-2.5459609663274985
2015-03-11,-1.9481380098129888
2015-03-12,-2.0708267620415524
2015-03-13,-2.9846585516309223
2015-03-14,-3.08195142898255
2015-03-15,-3.1740985946527513
2015-03-16,-3.143385305005652
2015-03-17,-2.862880685966234
2015-03-18,-2.2204566255157343
2015-03-19,-1.699855674378777
2015-03-20,-1.9549080739638471
2015-03-21,-2.1772553288130725
2015-03-22,-2.8356644224734375
2015-03-23,-3.1558628288620834
2015-03-24,-3.537500916370386
2015-03-25,-3.3168310329975714
2015-03-26,-3.418157615823244
2015-03-27,-4.129167533162547
2015-03-28,-3.716052672807419
2015-03-29,-3.146067436559176
2015-03-30,-2.4846561367555373
2015-03-31,-2.7465839309668567
2015-04-01,-3.503828024843585
2015-04-02,-2.7137398934225208
2015-04-03,-2.5894403068018175
2015-04-04,-2.2258576997795907
2015-04-05,-2.115012359418634
2015-04-06,-2.3846532545197188
2015-04-07,-1.6545342881832095
2015-04-08,-2.7799971203455796
2015-04-09,-2.5758808146269954
2015-04-10,-2.305149966245905
2015-04-11,-1.7961860168425312
2015-04-12,-3.38929220549376
2015-04-13,-1.8828115340111697
2015-04-14,-1.930500612278171
2015-04-15,-2.0972111040894927
2015-04-16,-1.5864328576221542
2015-04-17,-2.9216593744671218
2015-04-18,-2.3564464634240334
2015-04-19,-1.6518761043124461
2015-04-20,-2.2231928946470783
2015-04-21,-2.7787792198270758
2015-04-22,-1.8977197780899482
2015-04-23,-2.085044448972299
2015-04-24,-1.9752809194666003
2015-04-25,-1.8451509326547268
2015-04-26,-2.37353161951659
2015-04-27,-1.6204298047247983
2015-04-28,-1.0110045755621289
2015-04-29,-2.547784524354273
2015-04-30,-2.255499828772742
2015-05-01,-2.910633202990341
2015-05-02,-3.3037319130796
2015-05-03,-2.905115794705948
2015-05-04,-2.248927085535093
2015-05-05,-2.181844543208611
2015-05-06,-2.0491605945730704
2015-05-07,-1.9108784513028108
2015-05-08,-3.0583001808735135
2015-05-09,-1.976665499664935
2015-05-10,-1.8432577618735544
2015-05-11,-2.846136731402929
2015-05-12,-2.692492195320351
2015-05-13,-3.020970224051471
2015-05-14,-2.4959716328900194
2015-05-15,-2.0805000060218135
2015-05-16,-1.721552340080055
2015-05-17,-2.0045572898068595
2015-05-18,-3.148430519926458
2015-05-19,-2.1961857286515114
2015-05-20,-2.7811867122478438
2015-05-21,-2.8440538058662312
2015-05-22,-2.0720023301048394
2015-05-23,-2.1970813666938422
2015-05-24,-1.3486139810250337
2015-05-25,-1.0455636237057582
2015-05-26,-1.6765360202090565
2015-05-27,-1.1318702542539736
2015-05-28,-2.5055570094779442
2015-05-29,-3.022292543317138
2015-05-30,-4.134311569809976
2015-05-31,-2.868911783871773
2015-06-01,-1.8657936852735475
2015-06-02,-2.471313033247625
2015-06-03,-2.1465825153839853
2015-06-04,-2.329257146953894
2015-06-05,-3.180061803923289
2015-06-06,-2.8303358566088423
2015-06-07,-2.505595949272879
2015-06-08,-2.9969548960343575
2015-06-09,-2.7136438846965385
2015-06-10,-3.4028669164854684
2015-06-11,-2.247985021724086
2015-06-12,-2.2944972991581
2015-06-13,-2.4189620461776857
2015-06-14,-2.839832075836512
2015-06-15,-2.8124098867788034
2015-06-16,-2.5625239461246476
2015-06-17,-3.622940611134046
2015-06-18,-2.56273150007737
2015-06-19,-2.593357471949826
2015-06-20,-2.8829994341416016
2015-06-21,-2.4956391663914443
2015-06-22,-2.0352688124253606
2015-06-23,-4.012961933499773
2015-06-24,-3.796903626141209
2015-06-25,-3.41688691566208
2015-06-26,-2.7917288044885105
2015-06-27,-2.839803483814699
2015-06-28,-2.754740258418108
2015-06-29,-2.5596433378079513
2015-06-30,-3.182668181836465
2015-07-01,-1.8980519573007062
2015-07-02,-2.127109350280984
2015-07-03,-2.7446684698402564
2015-07-04,-2.610176094521813
2015-07-05,-3.0024488196725345
2015-07-06,-1.831988748538225
2015-07-07,-1.5014155827748554
2015-07-08,-2.566007292683504
2015-07-09,-2.9262519680683394
2015-07-10,-2.9048487309681232
2015-07-11,-2.1243947317984513
2015-07-12,-2.456110434938549
2015-07-13,-2.0154957061520267
2015-07-14,-1.9558545967343361
2015-07-15,-1.8877134056355316
2015-07-16,-2.1094791259974968
2015-07-17,-1.3800272230385158
2015-07-18,-1.917969587669922
2015-07-19,-2.316444534681829
2015-07-20,-1.7359913827069222
2015-07-21,-2.3314433577154223
2015-07-22,-1.7936377865893007
2015-07-23,-1.6459103568153624
2015-07-24,-2.109854600435699
2015-07-25,-2.3618152975329885
2015-07-26,-1.9561866611194678
2015-07-27,-1.776674886808179
2015-07-28,-1.477279576801237
2015-07-29,-1.937292372824593
2015-07-30,-1.962939806062164
2015-07-31,-1.7390516794366362
2015-08-01,-2.387728861395318
2015-08-02,-1.9665825516669073
2015-08-03,-1.7851888969720793
2015-08-04,-2.27576924767381
2015-08-05,-1.553195646304112
2015-08-06,-1.7382611053254735
2015-08-07,-1.793627334423246
2015-08-08,-2.0775428813871653
2015-08-09,-2.157049944777785
2015-08-10,-3.0679253300485465
2015-08-11,-3.472219530978434
2015-08-12,-3.136697349175008
2015-08-13,-2.904350940071058
2015-08-14,-3.0358985044711595
2015-08-15,-3.913989515763813
2015-08-16,-3.1180622409140377
2015-08-17,-3.402957755672187
2015-08-18,-3.056458420796406
2015-08-19,-2.779734276588656
2015-08-20,-4.278944862115252
2015-08-21,-5.016154995053247
2015-08-22,-4.605971567957611
2015-08-23,-2.7924116961477217
2015-08-24,-3.3608700162789735
2015-08-25,-2.377647693998211
2015-08-26,-2.693790613736429
2015-08-27,-2.515145648160369
2015-08-28,-2.0135022757487304
2015-08-29,-2.262109256528094
2015-08-30,-2.008247610164772
2015-08-31,-2.254730188735231
2015-09-01,-1.629980499212509
2015-09-02,-1.9336612287074615
2015-09-03,-2.6650597229824258
2015-09-04,-1.5338810588237484
2015-09-05,-1.834617505444363
2015-09-06,-2.0517147953066153
2015-09-07,-1.6818171937190718
2015-09-08,-1.3180626917325764
2015-09-09,-1.031818864097911
2015-09-10,-1.3385712424613472
2015-09-11,-3.6336316299850453
2015-09-12,-2.5687462755529866
2015-09-13,-2.6310391720645874
2015-09-14,-1.482789356589207
2015-09-15,-2.4957850167906366
2015-09-16,-2.318038498516526
2015-09-17,-2.8479286144791045
2015-09-18,-2.281919080522705
2015-09-19,-2.496427154342934
2015-09-20,-1.318421674508683
2015-09-21,-1.7355296299080107
2015-09-22,-2.2128293135943315
2015-09-23,-1.8957635983061094
2015-09-24,-2.466359578844635
2015-09-25,-2.173785640836836
2015-09-26,-2.374339850632107
2015-09-27,-1.9898073950081197
2015-09-28,-1.203246611491411
2015-09-29,-2.0371557102750786
2015-09-30,-2.591980716335878
2015-10-01,-1.8745788393267833
2015-10-02,-0.7525373241123627
2015-10-03,-1.538501654980058
2015-10-04,-0.9591874599333283
2015-10-05,-1.814012695659466
2015-10-06,-1.8308528724677373
2015-10-07,-2.044941074802907
2015-10-08,-1.1946615244424676
2015-10-09,-0.13623714327461162
2015-10-10,0.3915643127091869
2015-10-11,-0.6837679218032612
2015-10-12,-0.9146672347165535
2015-10-13,-0.9497978218992278
2015-10-14,-1.2526738400722184
2015-10-15,-0.801874108190089
2015-10-16,-0.45397167707208896
2015-10-17,-0.563663297241795
2015-10-18,-1.4806967985977337
2015-10-19,-1.136680386941963
2015-10-20,-1.3084643666433717
2015-10-21,-1.390298675785112
2015-10-22,-1.5581337702964781
2015-10-23,-1.5345155617349786
2015-10-24,-1.7432160586111696
2015-10-25,-3.040825775580936
2015-10-26,-2.0038748799689685
2015-10-27,-1.4591780528037408
2015-10-28,-1.9434323025454545
2015-10-29,-2.845640983169368
2015-10-30,-1.0317427118803795
2015-10-31,-1.0492942632920843
2015-11-01,-0.8184359175317987
2015-11-02,-1.410869381151235
2015-11-03,-1.7198668356279836
2015-11-04,-2.217895771204469
2015-11-05,-1.8603176115449387
2015-11-06,-2.7672181705074714
2015-11-07,-0.9842574688335096
2015-11-08,-1.9428019947785704
2015-11-09,-1.7531576160006817
2015-11-10,-1.4667282574913865
2015-11-11,-1.828582792711904
2015-11-12,-1.7336903541107604
2015-11-13,-1.0927578182429898
2015-11-14,-2.1053997539280056
2015-11-15,-1.5738524053295375
2015-11-16,-2.7589712771846133
2015-11-17,-2.731350152098553
2015-11-18,-2.3222533596514823
2015-11-19,-2.9676726128025317
2015-11-20,-2.0897027527755094
2015-11-21,-3.4281877449051423
2015-11-22,-3.7899846156966306
2015-11-23,-3.5293015883944765
2015-11-24,-2.8356678414026004
2015-11-25,-2.5782461648938373
2015-11-26,-2.169259044602437
2015-11-27,-1.1159700478112606
2015-11-28,-2.403004531784263
2015-11-29,-2.0432496982657438
2015-11-30,-2.3090151774072756
2015-12-01,-1.941080247072814
2015-12-02,-2.19396047072263
2015-12-03,-1.933200185083797
2015-12-04,-1.6771121010542547
2015-12-05,-2.2863112966876913
2015-12-06,-1.742473185026565
2015-12-07,-1.746696922521862
2015-12-08,-1.8837197290578571
2015-12-09,-2.1102041477431213
2015-12-10,-1.4696450801561782
2015-12-11,-1.8255809198346664
2015-12-12,-1.8926544323568382
2015-12-13,-2.421583352282961
2015-12-14,-1.879512718677158
2015-12-15,-2.921153689477302
2015-12-16,-3.6433910870162287
2015-12-17,-2.9141190383514504
2015-12-18,-2.52744480996204
2015-12-19,-2.8408833230697006
2015-12-20,-2.0880871422546163
2015-12-21,-2.071786096306461
2015-12-22,-3.3849693107655687
2015-12-23,-3.5320897170847023
2015-12-24,-1.9811773687497365
2015-12-25,-2.4922515722838177
2015-12-26,-1.8162177234079382
2015-12-27,-2.7406926104423164
2015-12-28,-1.5808437754774007
