date,value
2015-02-18,934
2015-02-19,10391
2015-02-20,9815
2015-02-21,6483
2015-02-22,5483
2015-02-23,7578
2015-02-24,9131
2015-02-25,9985
2015-02-26,10235
2015-02-27,9839
2015-02-28,10167
2015-03-01,8109
2015-03-02,12543
2015-03-03,12580
2015-03-04,10531
2015-03-05,10216
2015-03-06,9097
2015-03-07,5410
2015-03-08,5869
2015-03-09,7733
2015-03-10,8818
2015-03-11,10772
2015-03-12,10626
2015-03-13,9374
2015-03-14,5300
2015-03-15,5824
2015-03-16,10471
2015-03-17,9736
2015-03-18,9499
2015-03-19,9601
2015-03-20,9306
2015-03-21,5356
2015-03-22,5018
2015-03-23,7921
2015-03-24,8625
2015-03-25,9005
2015-03-26,7970
2015-03-27,7576
2015-03-28,4705
2015-03-29,4587
2015-03-30,8497
2015-03-31,8403
2015-04-01,8340
2015-04-02,8712
2015-04-03,8022
2015-04-04,5439
2015-04-05,4700
2015-04-06,8878
2015-04-07,9501
2015-04-08,10806
2015-04-09,9356
2015-04-10,8312
2015-04-11,4698
2015-04-12,4475
2015-04-13,8698
2015-04-14,10749
2015-04-15,9499
2015-04-16,9603
2015-04-17,8047
2015-04-18,5149
2015-04-19,4847
2015-04-20,8170
2015-04-21,8292
2015-04-22,9427
2015-04-23,9120
2015-04-24,9296
2015-04-25,4736
2015-04-26,4051
2015-04-27,8243
2015-04-28,7694
2015-04-29,6867
2015-04-30,7875
2015-05-01,4922
2015-05-02,4146
2015-05-03,3663
2015-05-04,5545
2015-05-05,7426
2015-05-06,8226
2015-05-07,8727
2015-05-08,9952
2015-05-09,7711
2015-05-10,6388
2015-05-11,8897
2015-05-12,12088
2015-05-13,9671
2015-05-14,8157
2015-05-15,7917
2015-05-16,3554
2015-05-17,4271
2015-05-18,8872
2015-05-19,9015
2015-05-20,8917
2015-05-21,8844
2015-05-22,8553
2015-05-23,4077
2015-05-24,3717
2015-05-25,6578
2015-05-26,8915
2015-05-27,7252
2015-05-28,7437
2015-05-29,7215
2015-05-30,4940
2015-05-31,4624
2015-06-01,7292
2015-06-02,7313
2015-06-03,8063
2015-06-04,8829
2015-06-05,8585
2015-06-06,4900
2015-06-07,4699
2015-06-08,8084
2015-06-09,7763
2015-06-10,8817
2015-06-11,8029
2015-06-12,5745
2015-06-13,3919
2015-06-14,3977
2015-06-15,7340
2015-06-16,7898
2015-06-17,8833
2015-06-18,9591
2015-06-19,10171
2015-06-20,5589
2015-06-21,4536
2015-06-22,8650
2015-06-23,8443
2015-06-24,8281
2015-06-25,7889
2015-06-26,7730
2015-06-27,3852
2015-06-28,3706
2015-06-29,6911
2015-06-30,7947
2015-07-01,7571
2015-07-02,6880
2015-07-03,6051
2015-07-04,4771
2015-07-05,5020
2015-07-06,8977
2015-07-07,9909
2015-07-08,10978
2015-07-09,11403
2015-07-10,10285
2015-07-11,5455
2015-07-12,4505
2015-07-13,8298
2015-07-14,9098
2015-07-15,8935
2015-07-16,9163
2015-07-17,9457
2015-07-18,4772
2015-07-19,4552
2015-07-20,7672
2015-07-21,8575
2015-07-22,8256
2015-07-23,9028
2015-07-24,8334
2015-07-25,4799
2015-07-26,4013
2015-07-27,8265
2015-07-28,9040
2015-07-29,10242
2015-07-30,10723
2015-07-31,9549
2015-08-01,5170
2015-08-02,4815
2015-08-03,8489
2015-08-04,9500
2015-08-05,10647
2015-08-06,10270
2015-08-07,9256
2015-08-08,5683
2015-08-09,4511
2015-08-10,8316
2015-08-11,9972
2015-08-12,9350
2015-08-13,9030
2015-08-14,8622
2015-08-15,4520
2015-08-16,4173
2015-08-17,8813
2015-08-18,8946
2015-08-19,10314
2015-08-20,8710
2015-08-21,8175
2015-08-22,5589
2015-08-23,6528
2015-08-24,8409
2015-08-25,10506
2015-08-26,10500
2015-08-27,10089
2015-08-28,8322
2015-08-29,4923
2015-08-30,4117
2015-08-31,8649
2015-09-01,9148
2015-09-02,9316
2015-09-03,9242
2015-09-04,9453
2015-09-05,5651
2015-09-06,5700
2015-09-07,10289
2015-09-08,11321
2015-09-09,12355
2015-09-10,12522
2015-09-11,11695
2015-09-12,7028
2015-09-13,6582
2015-09-14,9977
2015-09-15,12005
2015-09-16,13257
2015-09-17,12344
2015-09-18,12412
2015-09-19,7771
2015-09-20,6480
2015-09-21,11452
2015-09-22,12766
2015-09-23,11596
2015-09-24,12327
2015-09-25,13367
2015-09-26,8040
2015-09-27,8006
2015-09-28,15364
2015-09-29,16235
2015-09-30,21948
2015-10-01,22144
2015-10-02,19200
2015-10-03,11975
2015-10-04,10020
2015-10-05,16351
2015-10-06,17676
2015-10-07,18825
2015-10-08,18048
2015-10-09,15564
2015-10-10,9693
2015-10-11,10287
2015-10-12,15037
2015-10-13,16096
2015-10-14,16148
2015-10-15,14617
2015-10-16,13662
2015-10-17,8455
2015-10-18,6925
2015-10-19,11849
2015-10-20,13257
2015-10-21,1974
2015-10-22,2416
2015-10-23,15949
2015-10-24,9447
2015-10-25,9101
2015-10-26,12120
2015-10-27,12949
2015-10-28,13011
2015-10-29,14727
2015-10-30,12583
2015-10-31,11522
2015-11-01,10002
2015-11-02,13229
2015-11-03,12775
2015-11-04,11312
2015-11-05,15421
2015-11-06,14576
2015-11-07,10647
2015-11-08,8931
2015-11-09,12326
2015-11-10,12299
2015-11-11,12738
2015-11-12,11972
2015-11-13,11650
2015-11-14,7014
2015-11-15,6865
2015-11-16,11609
2015-11-17,11334
2015-11-18,14458
2015-11-19,14041
2015-11-20,13413
2015-11-21,8403
2015-11-22,8128
2015-11-23,13534
2015-11-24,25257
2015-11-25,27360
2015-11-26,21927
2015-11-27,19257
2015-11-28,11948
2015-11-29,10248
2015-11-30,16490
2015-12-01,16116
2015-12-02,16374
2015-12-03,15461
2015-12-04,13116
2015-12-05,7552
2015-12-06,7357
2015-12-07,11745
2015-12-08,12803
2015-12-09,14086
2015-12-10,12037
2015-12-11,11997
2015-12-12,7765
2015-12-13,7569
2015-12-14,12515
2015-12-15,13952
2015-12-16,13926
2015-12-17,12133
2015-12-18,12793
2015-12-19,7607
2015-12-20,6308
2015-12-21,11067
2015-12-22,11322
2015-12-23,13334
2015-12-24,11227
2015-12-25,9070
2015-12-26,6788
2015-12-27,5989
2015-12-28,8868
2015-12-29,8847
2015-12-30,10002
2015-12-31,7299
2016-01-01,4397
2016-01-02,3976
2016-01-03,3768
2016-01-04,6595
2016-01-05,7093
2016-01-06,6010
2016-01-07,5457
2016-01-08,4893
2016-01-09,4277
2016-01-10,4190
2016-01-11,7911
2016-01-12,9294
2016-01-13,10033
2016-01-14,9577
2016-01-15,9400
2016-01-16,5182
2016-01-17,4762
2016-01-18,8938
2016-01-19,9236
2016-01-20,10472
2016-01-21,13155
2016-01-22,11503
2016-01-23,6583
2016-01-24,5718
2016-01-25,9502
2016-01-26,11029
2016-01-27,10787
2016-01-28,10585
2016-01-29,10095
2016-01-30,7338
2016-01-31,7067
2016-02-01,11645
2016-02-02,11428
2016-02-03,11943
2016-02-04,12861
2016-02-05,12615
2016-02-06,7960
2016-02-07,6122
2016-02-08,10795
2016-02-09,11597
2016-02-10,13206
2016-02-11,14918
2016-02-12,16412
2016-02-13,13406
2016-02-14,11359
2016-02-15,15922
2016-02-16,16406
2016-02-17,13974
2016-02-18,11792
2016-02-19,12453
2016-02-20,10221
2016-02-21,8335
2016-02-22,10691
2016-02-23,10338
2016-02-24,13115
2016-02-25,12286
2016-02-26,11743
2016-02-27,9067
2016-02-28,7405
2016-02-29,11109
2016-03-01,11644
2016-03-02,12377
2016-03-03,12528
2016-03-04,10683
2016-03-05,6292
2016-03-06,6268
2016-03-07,7884
2016-03-08,7289
2016-03-09,11553
2016-03-10,11288
2016-03-11,11018
2016-03-12,6807
2016-03-13,5685
2016-03-14,13017
2016-03-15,17007
2016-03-16,14598
2016-03-17,13442
2016-03-18,11808
2016-03-19,7952
2016-03-20,6949
2016-03-21,12245
2016-03-22,12297
2016-03-23,12758
2016-03-24,12324
2016-03-25,12277
2016-03-26,6273
2016-03-27,5815
2016-03-28,9958
2016-03-29,11127
2016-03-30,11329
2016-03-31,11777
2016-04-01,10615
2016-04-02,7723
2016-04-03,7226
2016-04-04,11117
2016-04-05,12392
2016-04-06,12906
2016-04-07,11947
2016-04-08,12594
2016-04-09,7571
2016-04-10,6509
2016-04-11,10511
2016-04-12,11579
2016-04-13,12065
2016-04-14,12252
2016-04-15,12268
2016-04-16,6706
2016-04-17,5946
2016-04-18,11251
2016-04-19,9294
2016-04-20,12370
2016-04-21,11545
2016-04-22,11021
2016-04-23,5631
2016-04-24,5488
2016-04-25,10735
2016-04-26,10947
2016-04-27,11561
2016-04-28,12576
2016-04-29,12434
2016-04-30,7980
2016-05-01,6337
2016-05-02,8049
2016-05-03,9355
2016-05-04,10871
2016-05-05,11300
2016-05-06,10591
2016-05-07,6157
2016-05-08,4766
2016-05-09,8099
2016-05-10,9687
2016-05-11,10216
2016-05-12,11007
2016-05-13,10837
2016-05-14,7252
