date,value
2015-02-18,-3.112426406397361
2015-02-19,-2.5677186410000394
2015-02-20,-2.676568554462725
2015-02-21,-3.3484929789157776
2015-02-22,-3.5130713369638253
2015-02-23,-2.705348987539759
2015-02-24,-2.4171020441687108
2015-02-25,-2.6857448136388413
2015-02-26,-2.570282726142952
2015-02-27,-2.798783169077584
2015-02-28,-4.803642554819178
2015-03-01,-4.370411543644018
2015-03-02,-3.5755932171920315
2015-03-03,-3.024964653708584
2015-03-04,-3.1242576817650676
2015-03-05,-3.0599891651585702
2015-03-06,-2.9917601639735
2015-03-07,-3.8798348550231223
2015-03-08,-4.201140904811128
2015-03-09,-3.3499849547117706
2015-03-10,-2.6764102843751902
2015-03-11,-2.8046590715134045
2015-03-12,-2.9268852862296417
2015-03-13,-2.5710498685809218
2015-03-14,-2.700013973866622
2015-03-15,-2.6762349023648393
2015-03-16,-2.3704144865999655
2015-03-17,-2.0552895218790233
2015-03-18,-1.9749706444706163
2015-03-19,-2.1255396131552082
2015-03-20,-2.086630538022407
2015-03-21,-2.267815654235258
2015-03-22,-2.5817505462113313
2015-03-23,-2.0061883226986374
2015-03-24,-2.042916858880157
2015-03-25,-2.022933162333684
2015-03-26,-2.0503617850630484
2015-03-27,-2.0434731967906816
2015-03-28,-1.8853436645087998
2015-03-29,-1.8991561742915795
2015-03-30,-1.957031762100475
2015-03-31,-2.048148792864885
2015-04-01,-2.1626957152302118
2015-04-02,-2.1477237555945643
2015-04-03,-1.9448917559450885
2015-04-04,-2.1172020527069795
2015-04-05,-2.113180990129835
2015-04-06,-1.8990603965773676
2015-04-07,-1.849810429579865
2015-04-08,-1.786564902699783
2015-04-09,-2.176584891339619
2015-04-10,-1.9930762382822154
2015-04-11,-2.076593141713979
2015-04-12,-2.166127936957627
2015-04-13,-2.260122327172196
2015-04-14,-2.1917109648165285
2015-04-15,-2.1126594834379597
2015-04-16,-2.2151145776212107
2015-04-17,-2.4755557708512614
2015-04-18,-2.0250492499439026
2015-04-19,-2.407395475100137
2015-04-20,-2.3005497255737315
2015-04-21,-2.1036118819354312
2015-04-22,-1.9691350636740312
2015-04-23,-2.181569438202456
2015-04-24,-2.127671348702658
2015-04-25,-2.3907622081290962
2015-04-26,-2.322490532746728
2015-04-27,-2.1350165289135714
2015-04-28,-1.9844169489697538
2015-04-29,-1.7187766356724277
2015-04-30,-1.8273722661572176
2015-05-01,-1.8197398348891656
2015-05-02,-2.3901116624949603
2015-05-03,-2.0125400409515435
2015-05-04,-1.6091206542198682
2015-05-05,-1.910211633305996
2015-05-06,-1.6959220329931037
2015-05-07,-1.654621686609249
2015-05-08,-1.2624098473490721
2015-05-09,-0.815816032094655
2015-05-10,-1.178155330513567
2015-05-11,-1.672039950550931
2015-05-12,-2.2253608985092788
2015-05-13,-2.061724441145014
2015-05-14,-1.8086317618567538
2015-05-15,-2.148425797976518
2015-05-16,-2.244562303361972
2015-05-17,-2.7478841793144135
2015-05-18,-2.5566438954312782
2015-05-19,-2.368111057168572
2015-05-20,-2.365016346092381
2015-05-21,-2.0267959534853293
2015-05-22,-2.193167902449734
2015-05-23,-2.544779049392049
2015-05-24,-2.5014971339291217
2015-05-25,-1.9477299062797164
2015-05-26,-1.9536340579253628
2015-05-27,-2.0288295340322406
2015-05-28,-2.294319088259119
2015-05-29,-2.3280399946523205
2015-05-30,-2.627106607875784
2015-05-31,-2.599176787328405
2015-06-01,-2.597325414875659
2015-06-02,-2.3493437852148515
2015-06-03,-2.8442437395851927
2015-06-04,-3.06140245326377
2015-06-05,-2.510783879833096
2015-06-06,-2.589421259225231
2015-06-07,-2.2579881716025367
2015-06-08,-2.1461966351844333
2015-06-09,-2.1988815485786675
2015-06-10,-2.0656532053395704
2015-06-11,-1.9142058247995377
2015-06-12,-1.9826080096008114
2015-06-13,-2.2507937616160465
2015-06-14,-2.216088491343554
2015-06-15,-2.255735546541829
2015-06-16,-1.9137122367902486
2015-06-17,-2.071782197529184
2015-06-18,-1.8070941604544453
2015-06-19,-1.5577486181450506
2015-06-20,-1.6486106023778981
2015-06-21,-1.9174570932471655
2015-06-22,-2.286409617984381
2015-06-23,-2.245830276172326
2015-06-24,-2.104816002296667
2015-06-25,-2.15238053050314
2015-06-26,-2.199908434424628
2015-06-27,-2.344641918536165
2015-06-28,-2.190215914923769
2015-06-29,-1.8908947583006435
2015-06-30,-2.205487654528596
2015-07-01,-2.134842942115052
2015-07-02,-2.0857090752651986
2015-07-03,-2.038096737242146
2015-07-04,-2.2012620426383114
2015-07-05,-2.1350336013187867
2015-07-06,-1.9202449762879754
2015-07-07,-1.7553250482659026
2015-07-08,-1.9306782284527115
2015-07-09,-1.8723308586990735
2015-07-10,-1.8937078089437238
2015-07-11,-2.414207056590144
2015-07-12,-2.0919906510103994
2015-07-13,-2.2710865283330417
2015-07-14,-2.0459398504213455
2015-07-15,-2.014264681978712
2015-07-16,-2.180480617978666
2015-07-17,-2.5437353756270076
2015-07-18,-2.4883327747091992
2015-07-19,-2.322391374007113
2015-07-20,-1.947892265842794
2015-07-21,-2.0586308378373976
2015-07-22,-2.0321430715939517
2015-07-23,-1.8165324329230845
2015-07-24,-2.213385418545102
2015-07-25,-2.1046949807561535
2015-07-26,-1.818651765990155
2015-07-27,-2.3249411709290486
2015-07-28,-2.2893597281655107
2015-07-29,-2.6426511809669497
2015-07-30,-3.062969346093248
2015-07-31,-2.5830404849444415
2015-08-01,-2.2725586773517494
2015-08-02,-2.2601548118805144
2015-08-03,-2.27555770620603
2015-08-04,-2.1906409644009286
2015-08-05,-2.430983690798718
2015-08-06,-2.626963962477653
2015-08-07,-2.738246901569154
2015-08-08,-3.079371493627009
2015-08-09,-2.69496062942961
2015-08-10,-2.316853503709076
2015-08-11,-2.8922451248605303
2015-08-12,-2.8654334566700386
2015-08-13,-2.7536605166830554
2015-08-14,-2.567320761003684
2015-08-15,-2.295510965011957
2015-08-16,-2.2234405262641856
2015-08-17,-2.351118957641395
2015-08-18,-2.3614970442031895
2015-08-19,-2.8804007251356842
2015-08-20,-2.213347981014984
2015-08-21,-2.275010985130245
2015-08-22,-2.273916185401511
2015-08-23,-2.152789767353937
2015-08-24,-2.2437708680891517
2015-08-25,-2.6162719062300015
2015-08-26,-2.304250428624008
2015-08-27,-2.271184992875492
2015-08-28,-2.1747460992891523
2015-08-29,-2.168858238026308
2015-08-30,-2.0815450844718275
2015-08-31,-2.4211569268513267
2015-09-01,-2.3364841486545154
2015-09-02,-2.05467864432112
