date,value
2015-02-18,490
2015-02-19,4945
2015-02-20,4590
2015-02-21,3280
2015-02-22,4767
2015-02-23,5539
2015-02-24,5500
2015-02-25,5312
2015-02-26,5307
2015-02-27,4564
2015-02-28,3692
2015-03-01,3733
2015-03-02,4802
2015-03-03,4787
2015-03-04,4704
2015-03-05,4913
2015-03-06,4274
2015-03-07,3076
2015-03-08,2785
2015-03-09,3895
2015-03-10,4283
2015-03-11,4076
2015-03-12,4682
2015-03-13,4785
2015-03-14,3144
2015-03-15,3018
2015-03-16,4275
2015-03-17,4690
2015-03-18,4937
2015-03-19,4301
2015-03-20,4222
2015-03-21,3629
2015-03-22,3012
2015-03-23,3720
2015-03-24,4266
2015-03-25,4603
2015-03-26,4705
2015-03-27,4121
2015-03-28,2800
2015-03-29,2417
2015-03-30,3932
2015-03-31,7125
2015-04-01,7306
2015-04-02,5584
2015-04-03,4810
2015-04-04,3009
2015-04-05,2995
2015-04-06,5181
2015-04-07,6018
2015-04-08,5372
2015-04-09,5043
2015-04-10,4128
2015-04-11,3142
2015-04-12,4411
2015-04-13,5627
2015-04-14,5237
2015-04-15,5021
2015-04-16,5431
2015-04-17,4930
2015-04-18,3174
2015-04-19,2718
2015-04-20,4840
2015-04-21,5401
2015-04-22,6570
2015-04-23,7242
2015-04-24,9202
2015-04-25,5201
2015-04-26,3641
2015-04-27,5005
2015-04-28,4439
2015-04-29,3934
2015-04-30,4135
2015-05-01,4972
2015-05-02,2814
2015-05-03,2358
2015-05-04,3318
2015-05-05,3583
2015-05-06,3980
2015-05-07,4203
2015-05-08,3943
2015-05-09,2649
2015-05-10,3240
2015-05-11,4730
2015-05-12,4792
2015-05-13,5125
2015-05-14,4199
2015-05-15,3852
2015-05-16,3288
2015-05-17,2978
2015-05-18,4212
2015-05-19,3625
2015-05-20,3632
2015-05-21,3755
2015-05-22,4078
2015-05-23,2549
2015-05-24,2413
2015-05-25,3600
2015-05-26,4411
2015-05-27,4124
2015-05-28,3616
2015-05-29,3685
2015-05-30,2507
2015-05-31,3021
2015-06-01,4708
2015-06-02,4327
2015-06-03,4277
2015-06-04,4036
2015-06-05,4771
2015-06-06,3180
2015-06-07,3606
2015-06-08,4990
2015-06-09,4686
2015-06-10,4792
2015-06-11,4381
2015-06-12,3815
2015-06-13,2692
2015-06-14,3207
2015-06-15,4556
2015-06-16,4824
2015-06-17,4854
2015-06-18,4373
2015-06-19,3798
2015-06-20,2928
2015-06-21,2670
2015-06-22,3791
2015-06-23,4174
2015-06-24,4004
2015-06-25,4833
2015-06-26,4119
2015-06-27,2650
2015-06-28,2977
2015-06-29,4492
2015-06-30,4328
2015-07-01,4085
2015-07-02,3624
2015-07-03,3685
2015-07-04,3428
2015-07-05,3693
2015-07-06,4558
2015-07-07,4857
2015-07-08,4294
2015-07-09,5165
2015-07-10,4916
2015-07-11,3006
2015-07-12,2903
2015-07-13,4115
2015-07-14,4303
2015-07-15,4040
2015-07-16,3722
2015-07-17,2920
2015-07-18,1897
2015-07-19,2305
2015-07-20,5671
2015-07-21,7055
2015-07-22,6842
2015-07-23,7937
2015-07-24,10490
2015-07-25,9668
2015-07-26,8747
2015-07-27,12000
2015-07-28,12632
2015-07-29,11639
2015-07-30,8199
2015-07-31,7163
2015-08-01,6096
2015-08-02,5436
2015-08-03,6246
2015-08-04,6434
2015-08-05,6581
2015-08-06,5565
2015-08-07,5946
2015-08-08,4362
2015-08-09,4276
2015-08-10,8692
2015-08-11,7863
2015-08-12,7062
2015-08-13,6179
2015-08-14,5356
2015-08-15,4362
2015-08-16,3821
2015-08-17,5060
2015-08-18,5924
2015-08-19,6551
2015-08-20,5616
2015-08-21,4969
2015-08-22,3549
2015-08-23,4148
2015-08-24,4956
2015-08-25,5679
2015-08-26,5265
2015-08-27,5534
2015-08-28,5408
2015-08-29,4572
2015-08-30,3949
2015-08-31,4958
2015-09-01,6834
2015-09-02,6480
2015-09-03,8093
2015-09-04,8131
2015-09-05,4928
2015-09-06,5458
2015-09-07,7160
2015-09-08,9105
2015-09-09,8398
2015-09-10,6831
2015-09-11,6618
2015-09-12,5051
2015-09-13,4662
2015-09-14,6123
2015-09-15,6173
2015-09-16,6571
2015-09-17,5759
2015-09-18,5457
2015-09-19,3936
2015-09-20,3847
2015-09-21,4969
2015-09-22,5223
2015-09-23,5260
2015-09-24,4089
2015-09-25,3516
2015-09-26,3048
2015-09-27,3371
2015-09-28,5068
2015-09-29,5241
2015-09-30,5113
2015-10-01,5039
2015-10-02,5257
2015-10-03,3857
2015-10-04,4004
2015-10-05,9420
2015-10-06,9499
2015-10-07,8294
2015-10-08,7424
2015-10-09,6435
2015-10-10,9723
2015-10-11,9332
2015-10-12,10530
2015-10-13,7895
2015-10-14,8438
2015-10-15,8545
2015-10-16,10443
2015-10-17,6720
2015-10-18,7103
2015-10-19,8489
2015-10-20,7421
2015-10-21,1020
2015-10-22,1112
2015-10-23,6954
2015-10-24,4532
2015-10-25,4371
2015-10-26,6759
2015-10-27,7169
2015-10-28,7504
2015-10-29,7358
2015-10-30,6642
2015-10-31,4513
2015-11-01,5775
2015-11-02,7497
2015-11-03,6916
2015-11-04,6870
2015-11-05,6556
2015-11-06,5709
2015-11-07,3641
2015-11-08,3513
2015-11-09,5740
2015-11-10,6477
2015-11-11,6529
2015-11-12,7099
2015-11-13,7875
2015-11-14,6205
2015-11-15,7930
2015-11-16,9589
2015-11-17,5606
2015-11-18,6752
2015-11-19,6241
2015-11-20,6802
2015-11-21,5175
2015-11-22,4975
2015-11-23,6517
2015-11-24,20807
2015-11-25,22635
2015-11-26,17027
2015-11-27,16247
2015-11-28,13272
2015-11-29,12010
2015-11-30,15745
2015-12-01,14060
2015-12-02,13120
2015-12-03,11976
2015-12-04,9328
2015-12-05,8410
2015-12-06,8269
2015-12-07,9773
2015-12-08,9991
2015-12-09,10693
2015-12-10,9842
2015-12-11,9070
2015-12-12,6900
2015-12-13,6847
2015-12-14,10480
2015-12-15,9366
2015-12-16,9832
2015-12-17,10400
2015-12-18,10534
2015-12-19,7256
2015-12-20,6110
2015-12-21,6734
2015-12-22,7611
2015-12-23,7864
2015-12-24,7475
2015-12-25,6689
2015-12-26,6140
2015-12-27,5346
2015-12-28,7985
2015-12-29,8260
2015-12-30,7967
2015-12-31,6336
2016-01-01,4193
2016-01-02,3797
2016-01-03,4069
2016-01-04,5061
2016-01-05,6172
2016-01-06,5491
2016-01-07,5883
2016-01-08,6386
2016-01-09,4438
2016-01-10,4228
2016-01-11,5949
2016-01-12,12116
2016-01-13,12233
2016-01-14,9636
2016-01-15,8305
2016-01-16,5327
2016-01-17,4320
2016-01-18,6670
2016-01-19,6639
2016-01-20,6328
2016-01-21,6237
2016-01-22,7304
2016-01-23,5997
2016-01-24,4936
2016-01-25,6428
2016-01-26,5929
2016-01-27,6516
2016-01-28,5877
2016-01-29,5757
2016-01-30,6524
2016-01-31,6560
2016-02-01,8568
2016-02-02,7173
2016-02-03,6863
2016-02-04,7982
2016-02-05,8697
2016-02-06,7087
2016-02-07,6183
2016-02-08,10453
2016-02-09,10739
2016-02-10,10529
2016-02-11,11191
2016-02-12,8883
2016-02-13,8443
2016-02-14,9512
2016-02-15,12816
2016-02-16,12701
2016-02-17,12953
2016-02-18,15304
2016-02-19,13754
2016-02-20,9770
2016-02-21,7542
2016-02-22,8303
2016-02-23,8230
2016-02-24,7903
2016-02-25,8896
2016-02-26,8236
2016-02-27,6030
2016-02-28,5365
2016-02-29,6880
2016-03-01,7144
2016-03-02,8188
2016-03-03,8380
2016-03-04,10045
2016-03-05,8994
2016-03-06,8175
2016-03-07,12312
2016-03-08,12578
2016-03-09,10184
2016-03-10,9596
2016-03-11,8186
2016-03-12,5959
2016-03-13,7333
2016-03-14,13368
2016-03-15,11128
2016-03-16,9961
2016-03-17,11979
2016-03-18,12217
2016-03-19,10033
2016-03-20,9295
2016-03-21,9550
2016-03-22,7849
2016-03-23,8764
2016-03-24,9143
2016-03-25,8477
2016-03-26,5708
2016-03-27,4913
2016-03-28,7334
2016-03-29,8929
2016-03-30,8298
2016-03-31,9762
2016-04-01,10991
2016-04-02,7258
2016-04-03,7611
2016-04-04,11206
2016-04-05,10054
2016-04-06,8469
2016-04-07,7933
2016-04-08,8065
2016-04-09,5730
2016-04-10,5165
2016-04-11,8236
2016-04-12,8908
2016-04-13,8399
2016-04-14,8709
2016-04-15,9118
2016-04-16,8002
2016-04-17,5329
2016-04-18,6360
2016-04-19,6889
2016-04-20,7971
2016-04-21,7140
2016-04-22,7261
2016-04-23,8081
2016-04-24,8302
2016-04-25,8639
2016-04-26,8763
2016-04-27,8650
2016-04-28,8054
2016-04-29,6187
2016-04-30,4300
2016-05-01,6360
2016-05-02,6847
2016-05-03,7458
2016-05-04,8279
2016-05-05,8100
2016-05-06,8557
2016-05-07,5735
2016-05-08,4939
2016-05-09,6037
2016-05-10,7580
2016-05-11,7772
2016-05-12,8261
2016-05-13,8232
2016-05-14,4915
2016-05-15,4316
2016-05-16,6397
2016-05-17,7034
2016-05-18,6463
2016-05-19,5860
2016-05-20,6246
2016-05-21,3987
2016-05-22,5337
2016-05-23,9208
2016-05-24,8220
2016-05-25,6950
2016-05-26,6421
2016-05-27,5973
2016-05-28,5122
2016-05-29,4507
2016-05-30,7730
2016-05-31,8574
2016-06-01,8301
2016-06-02,9876
2016-06-03,8677
2016-06-04,5682
2016-06-05,4343
2016-06-06,5805
2016-06-07,9501
2016-06-08,8627
2016-06-09,7072
2016-06-10,6184
2016-06-11,4220
2016-06-12,3855
2016-06-13,5246
2016-06-14,6199
2016-06-15,5808
2016-06-16,5794
2016-06-17,5781
2016-06-18,3867
2016-06-19,4702
2016-06-20,6172
2016-06-21,5971
2016-06-22,6567
2016-06-23,7054
2016-06-24,6183
2016-06-25,4529
2016-06-26,5671
2016-06-27,11605
2016-06-28,14387
2016-06-29,25491
2016-06-30,19611
2016-07-01,13200
2016-07-02,6622
2016-07-03,5815
2016-07-04,7498
2016-07-05,6721
2016-07-06,5207
2016-07-07,4284
2016-07-08,4425
2016-07-09,4770
2016-07-10,4456
2016-07-11,5788
2016-07-12,5202
2016-07-13,6045
2016-07-14,5925
2016-07-15,12265
2016-07-16,48906
2016-07-17,31718
2016-07-18,30686
2016-07-19,21808
2016-07-20,19833
2016-07-21,17605
2016-07-22,13944
2016-07-23,10218
2016-07-24,9394
2016-07-25,12326
2016-07-26,13019
2016-07-27,11376
2016-07-28,11473
2016-07-29,11158
2016-07-30,9002
2016-07-31,9039
2016-08-01,12136
2016-08-02,10837
2016-08-03,9090
2016-08-04,9446
2016-08-05,10037
2016-08-06,6178
2016-08-07,6739
2016-08-08,10079
2016-08-09,13189
2016-08-10,12412
2016-08-11,11380
2016-08-12,9522
2016-08-13,7014
2016-08-14,5263
2016-08-15,8712
2016-08-16,9233
2016-08-17,9145
2016-08-18,10772
2016-08-19,9347
2016-08-20,8549
2016-08-21,10347
2016-08-22,11853
2016-08-23,12028
2016-08-24,17611
2016-08-25,13019
2016-08-26,13136
2016-08-27,8590
2016-08-28,9234
2016-08-29,10200
2016-08-30,10303
2016-08-31,9902
2016-09-01,8429
2016-09-02,9743
2016-09-03,8918
2016-09-04,8748
2016-09-05,8269
2016-09-06,7319
2016-09-07,8347
2016-09-08,8374
2016-09-09,7187
2016-09-10,4914
2016-09-11,4479
2016-09-12,5843
2016-09-13,5192
2016-09-14,4634
2016-09-15,4761
2016-09-16,5746
2016-09-17,3863
2016-09-18,3433
2016-09-19,5679
2016-09-20,6546
2016-09-21,7022
2016-09-22,6011
2016-09-23,5539
2016-09-24,3836
2016-09-25,3869
2016-09-26,6287
2016-09-27,6295
2016-09-28,6058
2016-09-29,6253
2016-09-30,6580
2016-10-01,4450
2016-10-02,4400
2016-10-03,6195
2016-10-04,7231
2016-10-05,7571
2016-10-06,7584
2016-10-07,6772
2016-10-08,5198
2016-10-09,6269
2016-10-10,9853
2016-10-11,9912
2016-10-12,8401
