date,value
2015-02-18,-3.0561149102079415
2015-02-19,-2.558803854038213
2015-02-20,-2.6224439297444895
2015-02-21,-2.609974796615868
2015-02-22,-3.4405817012771265
2015-02-23,-2.8919703402835637
2015-02-24,-2.7739029014572236
2015-02-25,-2.74289703115086
2015-02-26,-3.0012351401758357
2015-02-27,-2.6628593760949864
2015-02-28,-1.9541447991749297
2015-03-01,-1.9304167970178385
2015-03-02,-1.972955104428182
2015-03-03,-1.4914811710976885
2015-03-04,-1.6416680951325928
2015-03-05,-2.043183041052795
2015-03-06,-2.9079891439512537
2015-03-07,-2.2140182227221894
2015-03-08,-2.086621646509684
2015-03-09,-1.8520690771317976
2015-03-10,-1.822327759411532
2015-03-11,-2.386392024726681
2015-03-12,-1.919566959077139
2015-03-13,-2.1807146850944283
2015-03-14,-1.6711561074626209
2015-03-15,-2.019794999603885
2015-03-16,-1.9252852295604208
2015-03-17,-1.6673469511062784
2015-03-18,-1.671786204941158
2015-03-19,-1.9639292526199605
2015-03-20,-1.8822014048064835
2015-03-21,-1.572064766133385
2015-03-22,-1.376943209575574
2015-03-23,-1.7094659309967617
2015-03-24,-1.733022646423041
2015-03-25,-2.8640338741637317
2015-03-26,-2.233901026768513
2015-03-27,-1.8527089797896903
2015-03-28,-1.565825783205224
2015-03-29,-2.0109338163504584
2015-03-30,-2.1084182002428267
2015-03-31,-4.54298860824959
2015-04-01,-4.9100158167483325
2015-04-02,-3.52734587371458
2015-04-03,-2.4134666411214787
2015-04-04,-2.331865341103946
2015-04-05,-2.6520935052452903
2015-04-06,-3.1154167308279175
2015-04-07,-2.276106348635987
2015-04-08,-1.750012347403659
2015-04-09,-1.938999133909302
2015-04-10,-1.740662573712875
2015-04-11,-2.368525699900927
2015-04-12,-4.229933172900692
2015-04-13,-3.691281087098149
2015-04-14,-3.09395702106718
2015-04-15,-3.0447840993176025
2015-04-16,-2.4426867366759555
2015-04-17,-2.6614324325301566
2015-04-18,-2.58899276459832
2015-04-19,-2.019684000553667
2015-04-20,-2.801008443349204
2015-04-21,-2.6840103203294565
2015-04-22,-2.541467433964787
2015-04-23,-2.783284555437945
2015-04-24,-3.573684848967489
2015-04-25,-3.06223807396238
2015-04-26,-2.8305386227649274
2015-04-27,-2.2731284630432067
2015-04-28,-2.0145739494579527
2015-04-29,-2.127121960078865
2015-04-30,-2.0745896018441075
2015-05-01,-3.007954203000206
2015-05-02,-2.6029807429771523
