date,value
2015-02-18,10021
2015-02-19,73941
2015-02-20,70379
2015-02-21,44718
2015-02-22,38676
2015-02-23,59165
2015-02-24,71475
2015-02-25,78463
2015-02-26,74197
2015-02-27,71020
2015-02-28,44468
2015-03-01,37436
2015-03-02,61693
2015-03-03,74098
2015-03-04,76962
2015-03-05,74081
2015-03-06,67061
2015-03-07,47094
2015-03-08,44593
2015-03-09,71254
2015-03-10,71319
2015-03-11,74661
2015-03-12,76477
2015-03-13,70898
2015-03-14,42554
2015-03-15,40001
2015-03-16,62476
2015-03-17,72778
2015-03-18,75511
2015-03-19,74192
2015-03-20,69588
2015-03-21,42840
2015-03-22,37762
2015-03-23,65043
2015-03-24,72493
2015-03-25,76105
2015-03-26,76075
2015-03-27,70380
2015-03-28,41972
2015-03-29,36375
2015-03-30,60839
2015-03-31,72267
2015-04-01,75989
2015-04-02,73377
2015-04-03,63097
2015-04-04,39860
2015-04-05,34595
2015-04-06,55080
2015-04-07,67433
2015-04-08,75340
2015-04-09,72792
2015-04-10,68834
2015-04-11,46535
2015-04-12,41593
2015-04-13,62251
2015-04-14,74102
2015-04-15,73963
2015-04-16,73379
2015-04-17,69781
2015-04-18,41874
2015-04-19,37409
2015-04-20,60327
2015-04-21,70017
2015-04-22,73294
2015-04-23,72353
2015-04-24,68667
2015-04-25,38647
2015-04-26,35217
2015-04-27,58300
2015-04-28,70971
2015-04-29,72342
2015-04-30,71704
2015-05-01,68166
2015-05-02,39621
2015-05-03,35507
2015-05-04,60706
2015-05-05,69759
2015-05-06,73129
2015-05-07,70663
2015-05-08,64618
2015-05-09,38727
2015-05-10,35096
2015-05-11,59395
2015-05-12,69855
2015-05-13,70810
2015-05-14,70878
2015-05-15,64294
2015-05-16,37602
2015-05-17,34767
2015-05-18,56724
2015-05-19,66375
2015-05-20,69457
2015-05-21,69170
2015-05-22,65351
2015-05-23,39155
2015-05-24,35277
2015-05-25,38349
2015-05-26,58380
2015-05-27,64404
2015-05-28,66139
2015-05-29,62672
2015-05-30,39299
2015-05-31,35529
2015-06-01,54581
2015-06-02,61172
2015-06-03,65600
2015-06-04,64769
2015-06-05,61827
2015-06-06,36339
2015-06-07,33355
2015-06-08,55935
2015-06-09,65632
2015-06-10,69080
2015-06-11,67109
2015-06-12,63665
2015-06-13,40509
2015-06-14,35667
2015-06-15,56699
2015-06-16,65823
2015-06-17,65747
2015-06-18,74838
2015-06-19,66761
2015-06-20,39742
2015-06-21,35885
2015-06-22,59424
2015-06-23,67809
2015-06-24,72866
2015-06-25,71751
2015-06-26,71437
2015-06-27,44600
2015-06-28,36551
2015-06-29,60234
2015-06-30,67324
2015-07-01,69354
2015-07-02,68467
2015-07-03,51256
2015-07-04,41244
2015-07-05,44501
2015-07-06,67763
2015-07-07,79401
2015-07-08,83898
2015-07-09,85823
2015-07-10,80225
2015-07-11,47287
2015-07-12,41583
2015-07-13,68657
2015-07-14,80410
2015-07-15,85051
2015-07-16,81916
2015-07-17,78351
2015-07-18,50027
2015-07-19,45518
2015-07-20,68126
2015-07-21,78933
2015-07-22,75985
2015-07-23,81215
2015-07-24,77536
2015-07-25,49426
2015-07-26,42401
2015-07-27,64779
2015-07-28,76784
2015-07-29,81644
2015-07-30,81590
2015-07-31,76079
2015-08-01,49643
2015-08-02,40661
2015-08-03,65335
2015-08-04,74245
2015-08-05,79009
2015-08-06,79278
2015-08-07,76246
2015-08-08,48088
2015-08-09,40378
2015-08-10,63643
2015-08-11,75199
2015-08-12,77343
2015-08-13,78552
2015-08-14,72725
2015-08-15,47893
2015-08-16,40268
2015-08-17,62800
2015-08-18,73525
2015-08-19,78722
2015-08-20,76623
2015-08-21,72296
2015-08-22,47720
2015-08-23,45004
2015-08-24,62274
2015-08-25,73133
2015-08-26,79895
2015-08-27,79450
2015-08-28,72666
2015-08-29,48512
2015-08-30,40662
2015-08-31,64190
2015-09-01,77787
2015-09-02,80487
2015-09-03,78228
2015-09-04,73069
2015-09-05,46213
2015-09-06,38638
2015-09-07,44211
2015-09-08,69451
2015-09-09,79672
2015-09-10,78646
2015-09-11,77008
2015-09-12,46265
2015-09-13,39920
2015-09-14,64213
2015-09-15,78913
2015-09-16,84138
2015-09-17,85983
2015-09-18,78858
2015-09-19,51168
2015-09-20,44095
2015-09-21,71223
2015-09-22,87209
2015-09-23,90368
2015-09-24,85571
2015-09-25,83153
2015-09-26,53230
2015-09-27,47633
2015-09-28,71903
2015-09-29,81143
2015-09-30,87592
2015-10-01,90091
2015-10-02,88915
2015-10-03,53198
2015-10-04,43060
2015-10-05,68163
2015-10-06,77958
2015-10-07,83432
2015-10-08,82454
2015-10-09,77473
2015-10-10,50932
2015-10-11,41819
2015-10-12,63109
2015-10-13,75502
2015-10-14,81910
2015-10-15,79697
2015-10-16,74550
2015-10-17,46710
2015-10-18,38670
2015-10-19,63396
2015-10-20,75407
2015-10-21,18951
2015-10-22,9561
2015-10-23,81018
2015-10-24,47721
2015-10-25,40088
2015-10-26,65554
2015-10-27,77466
2015-10-28,80585
2015-10-29,80898
2015-10-30,76381
2015-10-31,47447
2015-11-01,36415
2015-11-02,61561
2015-11-03,70720
2015-11-04,80422
2015-11-05,80558
2015-11-06,77528
2015-11-07,47357
2015-11-08,39845
2015-11-09,63773
2015-11-10,78407
2015-11-11,78611
2015-11-12,76423
2015-11-13,73934
2015-11-14,47336
2015-11-15,39546
2015-11-16,66660
2015-11-17,78379
2015-11-18,83312
2015-11-19,81612
2015-11-20,78620
2015-11-21,48720
2015-11-22,39500
2015-11-23,60552
2015-11-24,74450
2015-11-25,73952
2015-11-26,47728
2015-11-27,44025
2015-11-28,37001
2015-11-29,37229
2015-11-30,57653
2015-12-01,72293
2015-12-02,75667
2015-12-03,80859
2015-12-04,79820
2015-12-05,53149
2015-12-06,42152
2015-12-07,67686
2015-12-08,79177
2015-12-09,85296
2015-12-10,81764
2015-12-11,73975
2015-12-12,49922
2015-12-13,38925
2015-12-14,62540
2015-12-15,75762
2015-12-16,81195
2015-12-17,79561
2015-12-18,74271
2015-12-19,50247
2015-12-20,37945
2015-12-21,55675
2015-12-22,63781
2015-12-23,65347
2015-12-24,54047
2015-12-25,31237
2015-12-26,31120
2015-12-27,33532
2015-12-28,47833
2015-12-29,55569
2015-12-30,60342
2015-12-31,58051
2016-01-01,38829
2016-01-02,33530
2016-01-03,34621
2016-01-04,57856
2016-01-05,72780
2016-01-06,78745
2016-01-07,77942
2016-01-08,75234
2016-01-09,51515
2016-01-10,42737
2016-01-11,64610
2016-01-12,75667
2016-01-13,83693
2016-01-14,81657
2016-01-15,80486
2016-01-16,56005
2016-01-17,47787
2016-01-18,65220
2016-01-19,74721
2016-01-20,82423
2016-01-21,80241
