date,value
2015-02-18,-1.9652546389361707
2015-02-19,-1.9028447915752738
2015-02-20,-1.9314844576558488
2015-02-21,-2.0957185250137784
2015-02-22,-1.6972233621268378
2015-02-23,-1.6284560337487877
2015-02-24,-1.9356419080275333
2015-02-25,-2.1248654648732894
2015-02-26,-1.951929156103785
2015-02-27,-1.9081173606873023
2015-02-28,-2.078329817726657
2015-03-01,-1.7863449171611452
2015-03-02,-1.7927708923706291
2015-03-03,-1.9489788150359142
2015-03-04,-1.8682701559728312
2015-03-05,-1.839219969981898
2015-03-06,-1.900152797787057
2015-03-07,-2.043017565037452
2015-03-08,-1.7855279587914585
2015-03-09,-1.8094743381063079
2015-03-10,-1.8672535204274205
2015-03-11,-1.9660077206484556
2015-03-12,-1.9484774901650024
2015-03-13,-2.0069637779240503
2015-03-14,-1.8802686160825064
2015-03-15,-1.8021878614002365
2015-03-16,-1.8493109232982197
2015-03-17,-1.9144726774933858
2015-03-18,-1.8305938910040989
2015-03-19,-1.8884735522809382
2015-03-20,-1.9117299134114485
2015-03-21,-2.077004593996408
2015-03-22,-1.6473906930643416
2015-03-23,-1.6410656008478848
2015-03-24,-1.8329430506701443
2015-03-25,-1.8435588163860326
2015-03-26,-1.8748434345853915
2015-03-27,-1.8861238816026362
2015-03-28,-1.9130037421230317
2015-03-29,-1.5159278698863061
2015-03-30,-1.6006807254376838
2015-03-31,-1.8419443861720475
2015-04-01,-1.827468502519363
2015-04-02,-1.865858967272243
2015-04-03,-1.8446451633487
2015-04-04,-2.0090207658208206
2015-04-05,-1.5837304882088399
2015-04-06,-1.6533210374176512
2015-04-07,-1.687243106841078
2015-04-08,-2.013736956440684
2015-04-09,-1.9662608975339537
2015-04-10,-1.9949222599295875
2015-04-11,-1.983075436580478
2015-04-12,-1.656982554089507
2015-04-13,-1.761374091569149
2015-04-14,-1.9744901204166942
2015-04-15,-2.044611079215418
2015-04-16,-1.8529211518488016
2015-04-17,-1.9142761926264602
2015-04-18,-1.9567268216087919
2015-04-19,-1.6690935193684089
2015-04-20,-1.7953819778464166
2015-04-21,-1.8389613035380465
2015-04-22,-1.8137595061223075
2015-04-23,-1.9411716311975855
2015-04-24,-1.9328800732426334
2015-04-25,-1.8553524954644207
2015-04-26,-1.54873545430277
2015-04-27,-1.699548914205527
2015-04-28,-2.0092811303818725
2015-04-29,-1.8289248133311917
2015-04-30,-1.8935751956281794
2015-05-01,-2.009899146868045
2015-05-02,-2.2859754706977435
2015-05-03,-1.8322571124722853
2015-05-04,-1.8736459074437208
2015-05-05,-1.9835983563291864
2015-05-06,-1.8678300933137326
2015-05-07,-1.8410295731416995
2015-05-08,-1.83901496559263
2015-05-09,-1.8382818422052822
2015-05-10,-1.6785579857998494
2015-05-11,-1.8515674772910913
2015-05-12,-1.9563437280018239
2015-05-13,-1.9888360200177588
2015-05-14,-1.8662318067923154
2015-05-15,-1.8119864021273102
2015-05-16,-1.8290377395427866
2015-05-17,-1.6046984932058004
2015-05-18,-1.863744832436309
2015-05-19,-1.913843038388303
2015-05-20,-1.7451921579602703
2015-05-21,-1.909061181947933
2015-05-22,-2.0013128089003187
2015-05-23,-2.243979193192902
2015-05-24,-1.9894216167435348
2015-05-25,-1.7801972784147997
2015-05-26,-1.7637403470275699
2015-05-27,-1.8788526608079146
2015-05-28,-1.9175098226626222
2015-05-29,-1.9107497690263129
2015-05-30,-2.2347443512636262
2015-05-31,-1.7221217788806105
2015-06-01,-1.7153751800546415
2015-06-02,-1.7348783199108126
2015-06-03,-1.8965159488437058
2015-06-04,-1.89666882200843
2015-06-05,-1.8881888019809263
2015-06-06,-1.9771881886841802
2015-06-07,-1.6283084080134815
2015-06-08,-1.9472746610431741
2015-06-09,-2.021716626421343
2015-06-10,-1.9069337104004838
2015-06-11,-1.9214275402472927
2015-06-12,-1.9797536313013222
2015-06-13,-1.9751888662026442
2015-06-14,-1.7297098247648999
2015-06-15,-1.936960741388038
2015-06-16,-2.0251309799894783
2015-06-17,-1.977986321354346
2015-06-18,-2.348313081310195
2015-06-19,-2.3541871567092167
2015-06-20,-2.2927033969434047
2015-06-21,-1.7642841320810825
2015-06-22,-1.9043563379139028
2015-06-23,-1.998087104525044
2015-06-24,-1.9418427853142
2015-06-25,-1.8838871764912855
2015-06-26,-1.1747326324882055
2015-06-27,-0.9634912164893813
2015-06-28,-1.3502400197718996
2015-06-29,-1.6474984478698116
2015-06-30,-1.6817854747523384
2015-07-01,-1.5490125597927944
2015-07-02,-1.7751411943849207
2015-07-03,-1.6770838834791006
2015-07-04,-1.3699756305149011
2015-07-05,-1.3056712260936578
2015-07-06,-1.5054808628983667
2015-07-07,-1.6811120954097794
2015-07-08,-1.7291083911656757
2015-07-09,-1.755084769395127
2015-07-10,-1.7857388581014928
2015-07-11,-1.891058081827181
2015-07-12,-1.6035782678404684
2015-07-13,-1.6880397371611668
2015-07-14,-1.7886335604848256
2015-07-15,-1.7990312411750136
2015-07-16,-1.9192821612908761
2015-07-17,-2.199014666596092
2015-07-18,-2.2222034835635287
2015-07-19,-1.8660848430844403
2015-07-20,-1.725496098531242
2015-07-21,-1.851540700331184
2015-07-22,-1.9607702896747308
2015-07-23,-1.9869166537684926
2015-07-24,-2.3224163137434157
2015-07-25,-2.1389992665128905
2015-07-26,-1.8547677201252075
2015-07-27,-1.9005464557323375
2015-07-28,-2.0306866903088574
2015-07-29,-2.113286640984902
2015-07-30,-2.166234550213817
2015-07-31,-2.1544446161696365
2015-08-01,-2.0336655513917257
2015-08-02,-1.834024850373065
2015-08-03,-1.9321295246139334
2015-08-04,-2.0540186202538737
2015-08-05,-1.9240166279916484
2015-08-06,-2.0080058278553787
2015-08-07,-2.0533534922047227
2015-08-08,-2.317197096002566
2015-08-09,-2.112464247977437
2015-08-10,-2.1179088402305033
2015-08-11,-2.2665591041068307
2015-08-12,-1.951622352392351
2015-08-13,-1.9650314133757871
2015-08-14,-1.8644923979781192
2015-08-15,-2.0598046390613507
2015-08-16,-1.8968781457287038
2015-08-17,-1.8341212396158324
2015-08-18,-1.8849241894985689
2015-08-19,-1.8686370967540085
2015-08-20,-1.9586902770740235
2015-08-21,-1.944228175073573
2015-08-22,-2.052756426782216
2015-08-23,-1.7007865383005603
2015-08-24,-1.7833974589855097
2015-08-25,-1.8827217640363578
2015-08-26,-1.9032539413710108
2015-08-27,-1.992805224303319
2015-08-28,-2.017255755415917
2015-08-29,-2.194901222186611
2015-08-30,-1.8472944655507955
2015-08-31,-1.7619760149601913
