date,value
2015-02-18,259
2015-02-19,2110
2015-02-20,3603
2015-02-21,2730
2015-02-22,1996
2015-02-23,2584
2015-02-24,3564
2015-02-25,3978
2015-02-26,3430
2015-02-27,2707
2015-02-28,2049
2015-03-01,2645
2015-03-02,2568
2015-03-03,2961
2015-03-04,2797
2015-03-05,2505
2015-03-06,2576
2015-03-07,1728
2015-03-08,1626
2015-03-09,2770
2015-03-10,4476
2015-03-11,3721
2015-03-12,3325
2015-03-13,3393
2015-03-14,2755
2015-03-15,2318
2015-03-16,2902
2015-03-17,3126
2015-03-18,3217
2015-03-19,2575
2015-03-20,2483
2015-03-21,1807
2015-03-22,1656
2015-03-23,2160
2015-03-24,2463
2015-03-25,2615
2015-03-26,2714
2015-03-27,2536
2015-03-28,1712
2015-03-29,1002
2015-03-30,1977
2015-03-31,1883
2015-04-01,1722
2015-04-02,1346
2015-04-03,974
2015-04-04,1101
2015-04-05,1257
2015-04-06,1694
2015-04-07,2379
2015-04-08,2886
2015-04-09,3387
2015-04-10,3541
2015-04-11,2421
2015-04-12,2476
2015-04-13,2359
2015-04-14,2367
2015-04-15,2824
2015-04-16,2326
2015-04-17,1909
2015-04-18,1405
2015-04-19,1385
2015-04-20,2011
2015-04-21,2260
2015-04-22,2875
2015-04-23,2028
2015-04-24,1670
2015-04-25,1658
2015-04-26,1417
2015-04-27,1594
2015-04-28,1644
2015-04-29,1641
2015-04-30,1711
2015-05-01,1516
2015-05-02,1013
2015-05-03,991
2015-05-04,1507
2015-05-05,1428
2015-05-06,1738
2015-05-07,1801
2015-05-08,1588
2015-05-09,1024
2015-05-10,902
2015-05-11,1086
2015-05-12,1463
2015-05-13,1333
2015-05-14,1704
2015-05-15,1863
2015-05-16,1289
2015-05-17,1073
2015-05-18,1723
2015-05-19,2173
2015-05-20,2116
2015-05-21,2211
2015-05-22,2055
2015-05-23,1264
2015-05-24,1574
2015-05-25,1914
2015-05-26,2057
2015-05-27,1867
2015-05-28,1919
2015-05-29,2016
2015-05-30,1681
2015-05-31,1452
2015-06-01,1556
2015-06-02,1710
2015-06-03,1824
2015-06-04,2134
2015-06-05,2195
2015-06-06,1882
2015-06-07,1751
2015-06-08,2193
2015-06-09,2804
2015-06-10,2781
2015-06-11,2526
2015-06-12,2082
2015-06-13,1175
2015-06-14,1413
2015-06-15,1959
2015-06-16,2295
2015-06-17,2000
2015-06-18,2328
2015-06-19,2457
2015-06-20,1621
2015-06-21,1412
2015-06-22,1866
2015-06-23,2251
2015-06-24,2118
2015-06-25,1996
2015-06-26,1886
2015-06-27,1206
2015-06-28,1164
2015-06-29,1679
2015-06-30,1718
2015-07-01,2040
2015-07-02,2065
2015-07-03,2054
2015-07-04,1479
2015-07-05,1462
2015-07-06,2099
2015-07-07,2447
2015-07-08,2160
2015-07-09,2127
2015-07-10,2236
2015-07-11,1292
2015-07-12,1116
2015-07-13,1529
2015-07-14,1839
2015-07-15,2039
2015-07-16,2023
2015-07-17,2099
2015-07-18,1368
2015-07-19,1222
2015-07-20,1516
2015-07-21,1767
2015-07-22,1884
2015-07-23,2037
2015-07-24,2087
2015-07-25,1538
2015-07-26,1112
2015-07-27,1700
2015-07-28,2267
2015-07-29,1946
2015-07-30,1863
2015-07-31,1943
2015-08-01,1573
2015-08-02,1122
2015-08-03,1614
2015-08-04,1690
2015-08-05,1684
2015-08-06,1775
2015-08-07,1974
2015-08-08,1564
2015-08-09,1138
2015-08-10,1641
2015-08-11,1704
2015-08-12,1686
2015-08-13,2007
2015-08-14,1907
2015-08-15,1218
2015-08-16,1164
2015-08-17,1617
2015-08-18,1701
2015-08-19,1741
2015-08-20,2322
2015-08-21,2163
2015-08-22,2022
2015-08-23,1721
2015-08-24,2415
2015-08-25,2696
2015-08-26,3250
2015-08-27,3254
2015-08-28,3551
2015-08-29,2435
2015-08-30,2234
2015-08-31,2796
2015-09-01,3374
2015-09-02,3235
2015-09-03,3195
2015-09-04,3048
2015-09-05,2166
2015-09-06,2122
2015-09-07,2231
2015-09-08,3258
2015-09-09,3112
2015-09-10,3201
2015-09-11,4450
2015-09-12,2955
2015-09-13,2386
2015-09-14,3136
2015-09-15,3192
2015-09-16,3336
2015-09-17,3392
2015-09-18,3200
2015-09-19,2364
2015-09-20,2009
2015-09-21,2639
2015-09-22,3381
2015-09-23,3224
2015-09-24,2947
2015-09-25,2477
2015-09-26,2201
2015-09-27,2158
