date,value
2015-02-18,-2.4512264196960984
2015-02-19,-2.370295569247807
2015-02-20,-3.4169127998649014
2015-02-21,-3.247927835490267
2015-02-22,-2.670378131597214
2015-02-23,-2.363774285217137
2015-02-24,-2.6037829103074457
2015-02-25,-3.6867097076125175
2015-02-26,-3.173200100648995
2015-02-27,-2.0906863526520207
2015-02-28,-1.7850353161039234
2015-03-01,-2.8924874467886217
2015-03-02,-2.7085920825634804
2015-03-03,-2.3647164832983663
2015-03-04,-1.885358913462682
2015-03-05,-1.4307836581624798
2015-03-06,-1.2558027923902009
2015-03-07,-1.8986481194345577
2015-03-08,-1.5006784385457785
2015-03-09,-2.8508414800191813
2015-03-10,-2.7814838113654012
2015-03-11,-2.2709522000044955
2015-03-12,-2.4154826519561583
2015-03-13,-2.718295654290755
2015-03-14,-2.3139555633642988
2015-03-15,-2.1601612823546463
2015-03-16,-1.903917604076313
2015-03-17,-1.9468070481150772
2015-03-18,-2.113378210481486
2015-03-19,-1.8268681100641284
2015-03-20,-1.8369526908231006
2015-03-21,-1.5384927186698467
2015-03-22,-1.571502927078133
2015-03-23,-1.8529278670434743
2015-03-24,-1.7946859795700854
2015-03-25,-2.2664142261188593
2015-03-26,-1.9987522890831189
2015-03-27,-1.479326177167014
2015-03-28,-1.6089205353522322
2015-03-29,-1.6442979489442717
2015-03-30,-1.9423992294282835
2015-03-31,-1.242456183440517
2015-04-01,-0.8973093333311835
2015-04-02,-1.0422888322813741
2015-04-03,-1.2199865555880223
2015-04-04,-1.0939248892301252
2015-04-05,-1.436288877347986
2015-04-06,-1.6436911633777482
2015-04-07,-1.7498646196640337
2015-04-08,-1.83622020153596
2015-04-09,-1.6460278905980528
2015-04-10,-1.556578115526571
2015-04-11,-1.6868901536486633
2015-04-12,-1.3813021358807043
2015-04-13,-1.5840753823262608
2015-04-14,-1.124390660478305
2015-04-15,-2.1565255964169627
2015-04-16,-2.1042502352193377
2015-04-17,-1.2911884082088052
2015-04-18,-1.2237154206195735
2015-04-19,-0.7486684419190813
2015-04-20,-1.0787802501505666
2015-04-21,-1.1382375145923382
2015-04-22,-1.4141162935720242
2015-04-23,-1.7202006632874114
2015-04-24,-1.3872147016469012
2015-04-25,-2.286865644222522
2015-04-26,-1.3649225577777686
2015-04-27,-1.8193881874706441
2015-04-28,-1.872472933110185
2015-04-29,-1.5985803766585567
2015-04-30,-1.712170679275753
2015-05-01,-1.3106489053331107
2015-05-02,-0.9905965509484332
2015-05-03,-1.2628859525268301
2015-05-04,-1.0793858529807991
2015-05-05,-1.050823908979633
2015-05-06,-1.7508439697561722
2015-05-07,-1.8069617330053491
2015-05-08,-1.783169658974948
2015-05-09,-2.0986693506532546
2015-05-10,-1.2112688503003288
2015-05-11,-1.7542836485913436
2015-05-12,-1.6353770047212661
2015-05-13,-1.6199119616541655
2015-05-14,-1.9835030131215514
2015-05-15,-1.9709353847910802
2015-05-16,-2.2828120831932273
2015-05-17,-1.9216653282803942
2015-05-18,-1.6166984233541686
2015-05-19,-1.6088852748265758
2015-05-20,-1.7808598501236372
2015-05-21,-1.1205713828795114
2015-05-22,-0.7343044457050598
2015-05-23,-1.9974002728444986
2015-05-24,-3.0895662120412943
2015-05-25,-2.350013609608039
2015-05-26,-1.8047577143913016
2015-05-27,-2.075505433754877
2015-05-28,-1.2973268436985743
2015-05-29,-2.4328696924434876
2015-05-30,-3.003708877041169
2015-05-31,-2.7102401705826846
2015-06-01,-1.7051539681052599
2015-06-02,-2.1748163783509065
2015-06-03,-2.7074284763600174
2015-06-04,-2.626482773164245
2015-06-05,-2.4679424173446773
2015-06-06,-2.2170123307883833
2015-06-07,-2.484185792720161
2015-06-08,-2.538749065722559
2015-06-09,-2.5920420686051755
2015-06-10,-2.1316581505513166
2015-06-11,-2.6180740759985794
2015-06-12,-2.6314311470249936
2015-06-13,-2.244796903492073
2015-06-14,-1.8904176079337458
2015-06-15,-1.7684152135259843
2015-06-16,-1.8552388586113335
2015-06-17,-2.0356444910919795
2015-06-18,-1.9525591724222455
2015-06-19,-2.648811621521066
2015-06-20,-2.558258866967115
2015-06-21,-2.3174093912403726
2015-06-22,-2.0595353667533955
2015-06-23,-2.045214393499597
2015-06-24,-2.0336467264662743
2015-06-25,-1.7656599414348446
2015-06-26,-1.473662922290096
2015-06-27,-1.4016239216259374
2015-06-28,-0.9203068529865116
2015-06-29,-0.7987079712660669
2015-06-30,-1.751569485546303
2015-07-01,-1.4402759452464586
2015-07-02,-1.8470556959074478
2015-07-03,-1.7466497357945667
2015-07-04,-1.3210140327523732
2015-07-05,-0.6637252101380675
2015-07-06,-0.942053858679622
2015-07-07,-1.3798422062372604
2015-07-08,-1.7634033615529652
2015-07-09,-1.3413781482667098
2015-07-10,-1.3692934797261196
2015-07-11,-1.4021657685965794
2015-07-12,-1.5644309662057494
2015-07-13,-1.3967485132837445
2015-07-14,-1.2377062688762441
2015-07-15,-1.4840612755065121
2015-07-16,-1.4982484884559082
2015-07-17,-1.1411697934381548
2015-07-18,-1.4370936229701055
2015-07-19,-1.322569985235074
2015-07-20,-1.0655129769010643
2015-07-21,-1.5623368065544085
2015-07-22,-1.6320411658501257
2015-07-23,-1.485930615295457
2015-07-24,-1.5291475799460446
2015-07-25,-1.5448933943874292
2015-07-26,-1.9093776941873495
2015-07-27,-1.454679532698558
2015-07-28,-1.3726804953808531
2015-07-29,-1.6567727178198843
2015-07-30,-1.8263809630214067
2015-07-31,-2.0671529840460514
2015-08-01,-2.161314375468855
2015-08-02,-1.83656843884192
2015-08-03,-1.2554121131160578
2015-08-04,-1.6843894862871926
2015-08-05,-1.7159391235556358
2015-08-06,-2.0026718265626102
2015-08-07,-1.5931850266987397
2015-08-08,-1.820114957833384
2015-08-09,-1.382242812876795
2015-08-10,-1.0820413092885564
2015-08-11,-1.9579479527880004
2015-08-12,-1.9392610201597773
2015-08-13,-1.6735503320178982
2015-08-14,-1.830461339337679
2015-08-15,-1.597927637051416
2015-08-16,-1.8029874582156082
2015-08-17,-1.4518931031820257
2015-08-18,-1.713655293130207
2015-08-19,-2.195550317754182
2015-08-20,-2.2708536488465687
2015-08-21,-2.0754203680938543
2015-08-22,-2.3207133574113006
2015-08-23,-2.4384343181300068
2015-08-24,-2.6688127241693285
2015-08-25,-2.722238930650057
2015-08-26,-2.5906996071546544
2015-08-27,-2.7240754891826007
2015-08-28,-2.2880989450396814
2015-08-29,-2.237991851558482
2015-08-30,-2.2430763575456094
2015-08-31,-2.506382637262539
2015-09-01,-2.5664631002897864
2015-09-02,-2.389246441660209
2015-09-03,-2.3158784888106205
2015-09-04,-2.214613805751809
2015-09-05,-1.7497098753380556
2015-09-06,-1.5571069924167003
2015-09-07,-1.764833048102004
2015-09-08,-1.8858543920211066
2015-09-09,-1.9009415136361394
2015-09-10,-2.175674578254291
2015-09-11,-3.882831259982782
2015-09-12,-2.8000285152367224
2015-09-13,-1.9341742903337202
2015-09-14,-2.734381838044647
2015-09-15,-2.2301501786182465
2015-09-16,-1.8880479914225468
2015-09-17,-1.6230712845785424
2015-09-18,-1.8456572713526789
2015-09-19,-2.034304622738205
2015-09-20,-1.5544970275948296
2015-09-21,-1.649826045658651
2015-09-22,-0.9493111161442042
2015-09-23,-1.0906365182449964
2015-09-24,-0.7649506059760002
2015-09-25,-0.6795082587457766
2015-09-26,-1.0013662987677885
2015-09-27,-1.040569025984569
2015-09-28,-1.0869792761708157
2015-09-29,-1.618493794945287
